feature,importance
height,0.15342081459142054
weight,0.14748069122846535
cone,0.09666370679263546
40yd,0.09605860395685413
shuttle,0.0926948237569662
vert,0.09102438468064541
broad,0.085961974301985
bench,0.08356393155098246
10yd,0.07818089079263361
20yd,0.07495017834741191
