feature,importance
height,0.1588840419977788
weight,0.15428006237661543
bench,0.09969299384749804
cone,0.09019072222953345
vert,0.08914794021725649
40yd,0.0888083784482185
broad,0.08767651644202717
shuttle,0.08726584701660807
10yd,0.07328271533450544
20yd,0.07077078208995848
