group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,RandomForest,0.8473301355425534,-0.04818399900084125,12.883393515383368,32.3892988541456,72,19,8
Skill,RandomForest,0.8663046889105499,-0.2755999364758155,6.160342973460228,16.039468138248683,454,114,8
OL,RandomForest,0.43348011265891917,-0.6148263915709542,15.33307572692855,19.359653113899682,181,46,2
Front7,RandomForest,0.8560217835367302,-0.04665628721799209,6.990033518221396,21.189935557986317,495,124,5
DB,RandomForest,0.8387756863921423,0.06344564250232143,4.609908015444631,14.483826351101053,305,77,5
