group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,Ridge,0.21138530558381763,-0.08744208066649883,29.2810094528267,32.990268585842216,72,19,8
Skill,Ridge,0.13339541680644396,-0.05665059028525343,15.684016648903587,14.598170062593669,454,114,8
OL,Ridge,0.04975319113205645,-0.08983251273252901,19.858201375813483,15.904299007396213,181,46,2
Front7,Ridge,0.09662902666894635,0.09881028087731614,17.509104288946094,19.662362878828212,495,124,5
DB,Ridge,0.05526496900681688,0.07287047109979428,11.159172758513899,14.410764521915022,305,77,5
