group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,MLP,0.7489662259478205,-3.184480587094196,16.520366960738233,64.71479243743404,72,19,8
Skill,MLP,0.18559235538949637,-0.07412820598489156,15.204345318705823,14.718406022789448,454,114,8
OL,MLP,0.08925138612335248,-0.17465191500745525,19.441105631909238,16.511603363244355,181,46,2
Front7,MLP,0.2692496437167078,0.01434377844950352,15.747636497977657,20.563182334733273,495,124,5
DB,MLP,0.2385745158663255,0.12402104452209717,10.018223019052517,14.00759741196116,305,77,5
