group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,ExtraTrees,1.0,0.1516065181952041,0.0,29.13945638513273,72,19,8
Skill,ExtraTrees,0.9999998354922357,-0.2691278716651231,0.006833449732184355,15.99872633362561,454,114,8
OL,ExtraTrees,0.5258844839577979,-0.7673905871723621,14.026967305195873,20.253539014892056,181,46,2
Front7,ExtraTrees,1.0,-0.299630260046887,0.0,23.612256919119698,495,124,5
DB,ExtraTrees,0.9996890746077406,-0.08824218149496388,0.20244408254472898,15.612756727948586,305,77,5
