group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,HistGB,0.6432707475940722,-0.3506346693625997,19.693503024767956,36.766452724273975,72,19,8
Skill,HistGB,0.8509382336209146,-0.3579422994300008,6.504739901080272,16.549061771594797,454,114,8
OL,HistGB,0.14361649010472288,-0.3795644991759892,18.85193130629638,17.893926826420422,181,46,2
Front7,HistGB,0.8013392483199968,-0.04571898077091796,8.210826980900672,21.18044537861534,495,124,5
DB,HistGB,0.7999941929430467,0.01044986236568779,5.1345016062113995,14.887977942951375,305,77,5
