group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,ElasticNet,0.21210966043020218,-0.15536064684372142,29.26755883246382,34.00490526564181,72,19,8
Skill,ElasticNet,0.13337110917619321,-0.05521038542088608,15.684236610009027,14.588218085745922,454,114,8
OL,ElasticNet,0.04975269242116642,-0.0899124532812785,19.85820658682808,15.904882296599586,181,46,2
Front7,ElasticNet,0.09662144815050666,0.09884263181856057,17.50917773208039,19.66200995555275,495,124,5
DB,ElasticNet,0.055262219138688895,0.07259038302252363,11.159188999168773,14.412941120979355,305,77,5
