group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,KNN,0.22968752395309022,0.11298064787547346,28.939237108888072,29.795407629187984,72,19,8
Skill,KNN,0.27402258009562364,-0.20798596287211724,14.35517067506103,15.608589628004147,454,114,8
OL,KNN,0.008985091427651581,-0.45434395469918587,20.279712530790263,18.372498350855114,181,46,2
Front7,KNN,0.26424253255097385,-0.1100993773452641,15.801495901568078,21.82270199999636,495,124,5
DB,KNN,0.19891291511903975,0.021080740814365728,10.27582871294111,14.807790157570757,305,77,5
