group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,SVR,-0.23392668014414864,-0.334591929500645,36.62674202689198,36.5474458257844,72,19,8
Skill,SVR,-0.013848265534625703,0.009905758228515027,16.9641961399224,14.130937842245059,454,114,8
OL,SVR,-0.11606941379228153,-0.01307217043288822,21.521240644369964,15.333978312608092,181,46,2
Front7,SVR,-0.04288577150700612,-0.12842360195303315,18.812617898754365,22.00207664748114,495,124,5
DB,SVR,-0.020551250844787594,-0.029308815333199734,11.598301684974851,15.18412117902236,305,77,5
