group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,Lasso,0.212284381619523,-0.20220818724954848,29.26431349109995,34.68746997247627,72,19,8
Skill,Lasso,0.1333905416437332,-0.057155561096396745,15.684060764770885,14.60165786136669,454,114,8
OL,Lasso,0.049754231921858905,-0.09022328997600959,19.858190500628766,15.907150124896841,181,46,2
Front7,Lasso,0.096626182932111,0.09890412112032276,17.509131847527843,19.661339138262402,495,124,5
DB,Lasso,0.05526277113081102,0.07259228817837993,11.159185739118502,14.412926316888054,305,77,5
