group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,Dummy,0.0,-0.00044407049034744794,32.972631748837465,31.64311220009186,72,19,8
QB,Ridge,0.21138530558381763,-0.08744208066649883,29.2810094528267,32.990268585842216,72,19,8
QB,Lasso,0.212284381619523,-0.20220818724954848,29.26431349109995,34.68746997247627,72,19,8
QB,ElasticNet,0.21210966043020218,-0.15536064684372142,29.26755883246382,34.00490526564181,72,19,8
QB,RandomForest,0.8473301355425534,-0.04818399900084125,12.883393515383368,32.3892988541456,72,19,8
QB,ExtraTrees,1.0,0.1516065181952041,0.0,29.13945638513273,72,19,8
QB,HistGB,0.6432707475940722,-0.3506346693625997,19.693503024767956,36.766452724273975,72,19,8
QB,AdaBoost,0.8562204589265762,-0.27264501498952054,12.502652449772338,35.68916804935042,72,19,8
QB,SVR,-0.23392668014414864,-0.334591929500645,36.62674202689198,36.5474458257844,72,19,8
QB,KNN,0.22968752395309022,0.11298064787547346,28.939237108888072,29.795407629187984,72,19,8
QB,MLP,0.7489662259478205,-3.184480587094196,16.520366960738233,64.71479243743404,72,19,8
Skill,Dummy,0.0,-0.052430184521810475,16.847939870455267,14.568987357981323,454,114,8
Skill,Ridge,0.13339541680644396,-0.05665059028525343,15.684016648903587,14.598170062593669,454,114,8
Skill,Lasso,0.1333905416437332,-0.057155561096396745,15.684060764770885,14.60165786136669,454,114,8
Skill,ElasticNet,0.13337110917619321,-0.05521038542088608,15.684236610009027,14.588218085745922,454,114,8
Skill,RandomForest,0.8663046889105499,-0.2755999364758155,6.160342973460228,16.039468138248683,454,114,8
Skill,ExtraTrees,0.9999998354922357,-0.2691278716651231,0.006833449732184355,15.99872633362561,454,114,8
Skill,HistGB,0.8509382336209146,-0.3579422994300008,6.504739901080272,16.549061771594797,454,114,8
Skill,AdaBoost,-0.2102385003891014,-1.1979771969189605,18.534560240331516,21.054469828383898,454,114,8
Skill,SVR,-0.013848265534625703,0.009905758228515027,16.9641961399224,14.130937842245059,454,114,8
Skill,KNN,0.27402258009562364,-0.20798596287211724,14.35517067506103,15.608589628004147,454,114,8
Skill,MLP,0.18559235538949637,-0.07412820598489156,15.204345318705823,14.718406022789448,454,114,8
OL,Dummy,0.0,-0.11505344862166011,20.371438657038432,16.087275327727074,181,46,2
OL,Ridge,0.04975319113205645,-0.08983251273252901,19.858201375813483,15.904299007396213,181,46,2
OL,Lasso,0.049754231921858905,-0.09022328997600959,19.858190500628766,15.907150124896841,181,46,2
OL,ElasticNet,0.04975269242116642,-0.0899124532812785,19.85820658682808,15.904882296599586,181,46,2
OL,RandomForest,0.43348011265891917,-0.6148263915709542,15.33307572692855,19.359653113899682,181,46,2
OL,ExtraTrees,0.5258844839577979,-0.7673905871723621,14.026967305195873,20.253539014892056,181,46,2
OL,HistGB,0.14361649010472288,-0.3795644991759892,18.85193130629638,17.893926826420422,181,46,2
OL,AdaBoost,0.0633640843830513,-0.41332656805070567,19.7154686035066,18.11156227795079,181,46,2
OL,SVR,-0.11606941379228153,-0.01307217043288822,21.521240644369964,15.333978312608092,181,46,2
OL,KNN,0.008985091427651581,-0.45434395469918587,20.279712530790263,18.372498350855114,181,46,2
OL,MLP,0.08925138612335248,-0.17465191500745525,19.441105631909238,16.511603363244355,181,46,2
Front7,Dummy,0.0,-0.011040123324446816,18.421749122451367,20.8262840844067,495,124,5
Front7,Ridge,0.09662902666894635,0.09881028087731614,17.509104288946094,19.662362878828212,495,124,5
Front7,Lasso,0.096626182932111,0.09890412112032276,17.509131847527843,19.661339138262402,495,124,5
Front7,ElasticNet,0.09662144815050666,0.09884263181856057,17.50917773208039,19.66200995555275,495,124,5
Front7,RandomForest,0.8560217835367302,-0.04665628721799209,6.990033518221396,21.189935557986317,495,124,5
Front7,ExtraTrees,1.0,-0.299630260046887,0.0,23.612256919119698,495,124,5
Front7,HistGB,0.8013392483199968,-0.04571898077091796,8.210826980900672,21.18044537861534,495,124,5
Front7,AdaBoost,0.1763615699261295,-0.14848392383394593,16.71857141288839,22.196783846758017,495,124,5
Front7,SVR,-0.04288577150700612,-0.12842360195303315,18.812617898754365,22.00207664748114,495,124,5
Front7,KNN,0.26424253255097385,-0.1100993773452641,15.801495901568078,21.82270199999636,495,124,5
Front7,MLP,0.2692496437167078,0.01434377844950352,15.747636497977657,20.563182334733273,495,124,5
DB,Dummy,0.0,-0.012114774871047063,11.480927947274234,15.056765871702707,305,77,5
DB,Ridge,0.05526496900681688,0.07287047109979428,11.159172758513899,14.410764521915022,305,77,5
DB,Lasso,0.05526277113081102,0.07259228817837993,11.159185739118502,14.412926316888054,305,77,5
DB,ElasticNet,0.055262219138688895,0.07259038302252363,11.159188999168773,14.412941120979355,305,77,5
DB,RandomForest,0.8387756863921423,0.06344564250232143,4.609908015444631,14.483826351101053,305,77,5
DB,ExtraTrees,0.9996890746077406,-0.08824218149496388,0.20244408254472898,15.612756727948586,305,77,5
DB,HistGB,0.7999941929430467,0.01044986236568779,5.1345016062113995,14.887977942951375,305,77,5
DB,AdaBoost,-0.404365198739155,-0.16152773087047434,13.60557876159101,16.129897452964265,305,77,5
DB,SVR,-0.020551250844787594,-0.029308815333199734,11.598301684974851,15.18412117902236,305,77,5
DB,KNN,0.19891291511903975,0.021080740814365728,10.27582871294111,14.807790157570757,305,77,5
DB,MLP,0.2385745158663255,0.12402104452209717,10.018223019052517,14.00759741196116,305,77,5
