group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,RandomForest,0.8473301355425534,-0.04818399900084125,12.883393515383368,32.3892988541456,72,19,8
Skill,RandomForest,0.8723127961248264,-0.2533230725828688,5.964866140328205,17.292798178893207,472,118,8
OL,RandomForest,0.39413111494344044,-0.18828026027579847,15.096325552086341,21.563385784513738,186,47,2
Front7,RandomForest,0.8430446673052592,-0.039369568806968847,7.634144519751352,19.977516752124007,516,129,5
DB,RandomForest,0.8468185254448276,-0.05688618302596771,4.507768201372312,17.594914408872683,356,90,5
