group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,MLP,0.7489662259478205,-3.184480587094196,16.520366960738233,64.71479243743404,72,19,8
Skill,MLP,0.1691644370889417,0.055173096982949366,15.215441282996741,15.014465661006197,472,118,8
OL,MLP,0.09958444348165951,-0.08436840389413591,18.40362701769543,20.598990571756424,186,47,2
Front7,MLP,0.26457823854454987,0.028106504102409113,16.524966115110008,19.318163739676375,516,129,5
DB,MLP,0.23017385518854117,-0.02947081521811401,10.105429602398436,17.365211132349987,356,90,5
