group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,Dummy,0.0,-0.00044407049034744794,32.972631748837465,31.64311220009186,72,19,8
QB,Ridge,0.21138530558381763,-0.08744208066649883,29.2810094528267,32.990268585842216,72,19,8
QB,Lasso,0.212284381619523,-0.20220818724954848,29.26431349109995,34.68746997247627,72,19,8
QB,ElasticNet,0.21210966043020218,-0.15536064684372142,29.26755883246382,34.00490526564181,72,19,8
QB,RandomForest,0.8473301355425534,-0.04818399900084125,12.883393515383368,32.3892988541456,72,19,8
QB,ExtraTrees,1.0,0.1516065181952041,0.0,29.13945638513273,72,19,8
QB,HistGB,0.6432707475940722,-0.3506346693625997,19.693503024767956,36.766452724273975,72,19,8
QB,AdaBoost,0.8562204589265762,-0.27264501498952054,12.502652449772338,35.68916804935042,72,19,8
QB,SVR,-0.23392668014414864,-0.334591929500645,36.62674202689198,36.5474458257844,72,19,8
QB,KNN,0.22968752395309022,0.11298064787547346,28.939237108888072,29.795407629187984,72,19,8
QB,MLP,0.7489662259478205,-3.184480587094196,16.520366960738233,64.71479243743404,72,19,8
Skill,Dummy,0.0,-0.014634761925975237,16.692716344047557,15.559248758182022,472,118,8
Skill,Ridge,0.12128840833781518,0.031923926287193205,15.64768847582279,15.198072042592463,472,118,8
Skill,Lasso,0.12127641672525191,0.031555180790762694,15.647795245995916,15.20096628159098,472,118,8
Skill,ElasticNet,0.12126237844494703,0.03192490489089295,15.647920238236175,15.198064360916565,472,118,8
Skill,RandomForest,0.8723127961248264,-0.2533230725828688,5.964866140328205,17.292798178893207,472,118,8
Skill,ExtraTrees,1.0,-0.2591991324538476,0.0,17.333288415304686,472,118,8
Skill,HistGB,0.861492282481048,-0.3825727987398426,6.21246564138424,18.162589176344618,472,118,8
Skill,AdaBoost,-0.028225138740390898,-0.47939377784809944,16.926654215705387,18.787787933782536,472,118,8
Skill,SVR,-0.01554714816525915,-0.03069137632534691,16.821977936640774,15.681878212888641,472,118,8
Skill,KNN,0.26791192841063094,-0.03153408358928478,14.28264622018089,15.688287761300018,472,118,8
Skill,MLP,0.1691644370889417,0.055173096982949366,15.215441282996741,15.014465661006197,472,118,8
OL,Dummy,0.0,-0.0016222045465985602,19.39464917095257,19.79746041658703,186,47,2
OL,Ridge,0.052817096719078416,-0.018741713420447503,18.875516891010417,19.96593054662224,186,47,2
OL,Lasso,0.05281813332757257,-0.018515951348001547,18.875506562209914,19.96371811163753,186,47,2
OL,ElasticNet,0.05281664433171562,-0.018566395380614553,18.875521398610932,19.96421247698224,186,47,2
OL,RandomForest,0.39413111494344044,-0.18828026027579847,15.096325552086341,21.563385784513738,186,47,2
OL,ExtraTrees,0.4714507611013753,-0.379383424525612,14.100179907791983,23.23271757086812,186,47,2
OL,HistGB,0.16863413773067182,-0.0820463637068567,17.683898836471556,20.576923662757522,186,47,2
OL,AdaBoost,0.08768589545944294,-0.043838778914301546,18.52482537022746,20.210368164421514,186,47,2
OL,SVR,-0.08209052003771977,-0.09600819040239306,20.17500840013042,20.709251925391413,186,47,2
OL,KNN,0.14113744411612372,-0.29110042665827573,17.97395965852966,22.47695746806664,186,47,2
OL,MLP,0.09958444348165951,-0.08436840389413591,18.40362701769543,20.598990571756424,186,47,2
Front7,Dummy,0.0,-9.014259431650018e-05,19.2695840115111,19.59639019062171,516,129,5
Front7,Ridge,0.096540305408367,0.14164268815283132,18.315835338278646,18.15476202199523,516,129,5
Front7,Lasso,0.09653774007030935,0.1416663219632016,18.31586134180508,18.154512085779555,516,129,5
Front7,ElasticNet,0.09653099033600299,0.14157567212192745,18.315929760250555,18.155470722398455,516,129,5
Front7,RandomForest,0.8430446673052592,-0.039369568806968847,7.634144519751352,19.977516752124007,516,129,5
Front7,ExtraTrees,1.0,0.009619331697516387,0.0,19.5010314277011,516,129,5
Front7,HistGB,0.7981834154935823,-0.17933149539380766,8.65666806945229,21.280138658658007,516,129,5
Front7,AdaBoost,0.11360016760940006,-0.13815880753980259,18.142083935930167,20.9053737654636,516,129,5
Front7,SVR,-0.04326205331405819,-0.08037645185306275,19.681991721253734,20.36779708911565,516,129,5
Front7,KNN,0.25456842470502117,0.03478106304410278,16.63704654767358,19.251714914048122,516,129,5
Front7,MLP,0.26457823854454987,0.028106504102409113,16.524966115110008,19.318163739676375,516,129,5
DB,Dummy,0.0,-0.002733914096892942,11.517506147604987,17.138227370655805,356,90,5
DB,Ridge,0.05779843110327709,0.034228067789295435,11.179705523518004,16.819393766884573,356,90,5
DB,Lasso,0.057796305754511,0.03405304593445424,11.179718132688231,16.820917743735436,356,90,5
DB,ElasticNet,0.05779608204339626,0.03410924373737023,11.179719459910293,16.820428424748624,356,90,5
DB,RandomForest,0.8468185254448276,-0.05688618302596771,4.507768201372312,17.594914408872683,356,90,5
DB,ExtraTrees,1.0,-0.10143801630338567,0.0,17.96193330506367,356,90,5
DB,HistGB,0.7865411763130701,-0.11994987643768606,5.321272611774797,18.112247391184162,356,90,5
DB,AdaBoost,0.18128305212231755,-0.02634306794040353,10.421382662536374,17.338811496661794,356,90,5
DB,SVR,-0.005283221014925621,-0.045649143229726796,11.54789083347886,17.501128008076005,356,90,5
DB,KNN,0.23333103020336055,-0.1200706724503886,10.08468635488504,18.113224143947672,356,90,5
DB,MLP,0.23017385518854117,-0.02947081521811401,10.105429602398436,17.365211132349987,356,90,5
