group,model,train_r2,test_r2,train_rmse,test_rmse,n_train,n_test,n_features
QB,AdaBoost,0.8562204589265762,-0.27264501498952054,12.502652449772338,35.68916804935042,72,19,8
Skill,AdaBoost,-0.028225138740390898,-0.47939377784809944,16.926654215705387,18.787787933782536,472,118,8
OL,AdaBoost,0.08768589545944294,-0.043838778914301546,18.52482537022746,20.210368164421514,186,47,2
Front7,AdaBoost,0.11360016760940006,-0.13815880753980259,18.142083935930167,20.9053737654636,516,129,5
DB,AdaBoost,0.18128305212231755,-0.02634306794040353,10.421382662536374,17.338811496661794,356,90,5
