position,baseline_model,baseline_f1_macro,tuned_model,tuned_f1_macro,improvement
DB,SVC,0.5522988505747126,SVC,0.5881335673050024,0.03583471673028982
DL,NaiveBayes,0.6208333333333333,NaiveBayes,0.6208333333333333,0.0
LB,GB,0.5792880258899676,GB,0.6067755595886267,0.027487533698659083
OL,ExtraTrees,0.5887785730778111,GB,0.5727650727650728,-0.016013500312738294
QB,GB,0.7150997150997151,ExtraTrees,0.7537619699042408,0.038662254804525675
RB,ExtraTrees,0.5945017182130584,GB,0.5469458987783595,-0.04755581943469889
TE,SVC,0.6452991452991452,SVC,0.6452991452991452,0.0
WR,Logistic,0.596221322537112,ExtraTrees,0.6136363636363636,0.017415041099251627
