position,model,label_col,positive_class,best_params,cv_best_score,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
DB,Logistic,av_class_q,2,{'C': 0.1},0.4140233745339302,0.40487804878048783,0.39955527760405807,0.39789705964601857,0.41100844264774633,0.42426400759734095,0.6153846153846154
DL,ExtraTrees,av_class_q,2,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.409424374255485,0.43956043956043955,0.41619813358943797,0.46159250315963163,0.45286052374337604,0.4978919631093544,0.7391304347826086
LB,ExtraTrees,av_class_q,2,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.40997903241111444,0.3076923076923077,0.3059660645867542,0.3014273083238601,0.33618128547134635,0.3471119929453263,0.5714285714285714
OL,ExtraTrees,av_class_q,2,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.4108299479408955,0.40145985401459855,0.38671514080263525,0.4054049140540492,0.4357356061423383,0.4328099220572339,0.5714285714285714
QB,Logistic,av_class_q,2,{'C': 1.0},0.3663926995299544,0.45,0.39476755128929036,0.410918501788067,0.43043478260869567,0.42681583185015676,0.47368421052631576
RB,ExtraTrees,av_class_q,2,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.43036050864326525,0.3898305084745763,0.3876041112883218,0.3931047765793529,0.39869117237538293,0.4063714492380497,0.5185185185185185
TE,Logistic,av_class_q,2,{'C': 10.0},0.46789138442289097,0.37349397590361444,0.3615158431517694,0.3707186775601574,0.41627521414755453,0.40932311621966794,0.6666666666666666
WR,Logistic,av_class_q,2,{'C': 10.0},0.4552620385176188,0.46524064171123,0.459941670955567,0.47316597906649677,0.48056282474305,0.46028481012658223,0.3958333333333333
