position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star,score
DB,Logistic,0.4,0.39270639095303034,0.3943143056712357,0.4074829642852083,0.41504431782209555,0.5769230769230769,0.4494301185534382
DL,CatBoost,0.3956043956043956,0.38898550927090025,0.4099058943319693,0.43397683397683395,0.47515005123700776,0.6956521739130435,0.48230928593024225
LB,RF,0.33076923076923076,0.33465036848739715,0.33746732860417367,0.38876006441223837,0.36221340388007056,0.5357142857142857,0.39419331611183045
OL,ExtraTrees,0.40875912408759124,0.40442070055816653,0.42339030107614833,0.4731453841901603,0.47126927234454113,0.7142857142857143,0.4982478893823158
QB,ExtraTrees,0.4666666666666667,0.4137806637806638,0.4257756132756133,0.4776021080368906,0.447410797525214,0.5789473684210527,0.47390787574998106
RB,Logistic,0.4067796610169492,0.39611538896986004,0.4114586350624685,0.42750329380764157,0.4175585714811137,0.5555555555555556,0.44608029335498656
TE,RF,0.3373493975903614,0.2979088862574659,0.29892417723569004,0.309589220303506,0.38186462324393355,0.7222222222222222,0.4330909893134719
WR,Logistic,0.47593582887700536,0.4698618841475984,0.48356499624643245,0.49389295717456405,0.4713959212376934,0.3958333333333333,0.4488681078492003
