position,model,rmse,mae,r2,score
DB,SVR,8.62138971838972,6.681313658155571,-0.002203991755548973,6.337128874197021
DL,SVR,8.547664533117057,7.038272722797721,-0.10273123110676918,7.412626394465536
LB,SVR,10.232549379312822,7.451565075100227,-0.01704717454850946,7.522215957671573
OL,SVR,9.601727664873593,8.241589284303945,-0.07766189502279874,8.049959567955968
QB,RF,17.047866481615806,13.710137245865386,0.29490126375214964,9.687961777046022
RB,SVR,11.873728313250279,9.016037208579567,-0.041185897614766986,9.05353429534668
TE,SVR,7.034329595659901,5.265255312534345,0.030003440245584434,4.7967069891344085
WR,Ridge,12.871411682469544,10.254100723488602,0.07658539941280973,8.746082064153256
