position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
QB,Logistic,0.43333333333333335,0.38359788359788355,0.3986772486772487,0.4028362163004519,0.4123230782269684,0.47368421052631576
QB,RF,0.4,0.3242424242424242,0.3395454545454546,0.2820833333333333,0.3813882532418001,0.5789473684210527
QB,ExtraTrees,0.4666666666666667,0.4137806637806638,0.4257756132756133,0.4776021080368906,0.447410797525214,0.5789473684210527
QB,GB,0.43333333333333335,0.39268894911171337,0.40248660042155976,0.40168970814132104,0.4184252902788372,0.5789473684210527
QB,HistGB,0.36666666666666664,0.3121212121212121,0.32560606060606057,0.2837301587301587,0.3493516399694889,0.5263157894736842
QB,KNN,0.4,0.3301698301698302,0.34617882117882115,0.37564599483204136,0.3690566997203153,0.15789473684210525
QB,NaiveBayes,0.26666666666666666,0.14222222222222222,0.13511111111111113,0.09523809523809523,0.2807017543859649,0.8421052631578947
QB,SVC,0.3333333333333333,0.2516978516978517,0.2607345807345808,0.24430641821946172,0.3325705568268497,0.7368421052631579
QB,XGBoost,0.38333333333333336,0.3173635307781649,0.3324477351916376,0.2828282828282828,0.36384439359267734,0.5263157894736842
QB,CatBoost,0.4166666666666667,0.33834586466165417,0.3541771094402673,0.2966751918158568,0.39588100686498856,0.5789473684210527
RB,Logistic,0.4067796610169492,0.39611538896986004,0.4114586350624685,0.42750329380764157,0.4175585714811137,0.5555555555555556
RB,RF,0.3983050847457627,0.39718746216059353,0.40001575322383776,0.40317460317460324,0.41405225152328756,0.48148148148148145
RB,ExtraTrees,0.3644067796610169,0.3647150643995359,0.3575122864696672,0.37609922017587527,0.39137764046734586,0.48148148148148145
RB,GB,0.3389830508474576,0.3384567901234568,0.3384667294413057,0.36010623026126903,0.36148810180587737,0.4444444444444444
RB,HistGB,0.3474576271186441,0.34633132667374894,0.343257013828685,0.37909822866344606,0.3763164024666838,0.48148148148148145
RB,KNN,0.3644067796610169,0.32222182310188346,0.3521364674968234,0.3343287597524885,0.3357791754018169,0.1111111111111111
RB,NaiveBayes,0.3220338983050847,0.3009321796697212,0.31443335649653575,0.3406420948793831,0.3301396398053134,0.48148148148148145
RB,SVC,0.2627118644067797,0.2106060606060606,0.21968412942989213,0.20711417096959264,0.29187048683904027,0.5925925925925926
