position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star,score
DB,Logistic,0.5707317073170731,0.5469158127385976,0.5980946500242579,0.5792357537640557,0.6045123177476119,0.6730769230769231,0.5895273247557904
DL,NaiveBayes,0.7802197802197802,0.6208333333333333,0.8045329670329671,0.6073343712160526,0.6696745966639321,0.5217391304347826,0.6229823618410575
LB,NaiveBayes,0.6461538461538462,0.5582151300236406,0.6764775413711585,0.5639233954451346,0.5913461538461539,0.5,0.5583383342425896
OL,ExtraTrees,0.7153284671532847,0.5887785730778111,0.7502962010425602,0.5872713414634146,0.6467948717948718,0.55,0.6024549799695625
QB,GB,0.75,0.7150997150997151,0.7549857549857549,0.7087912087912087,0.7261904761904762,0.6666666666666666,0.7075498575498576
RB,Logistic,0.5169491525423728,0.4902614626752558,0.5574749038220692,0.5518648018648018,0.5765591397849463,0.68,0.5525205618461024
TE,SVC,0.7590361445783133,0.6452991452991452,0.768715889197817,0.6365079365079365,0.6604477611940298,0.5,0.6244568015652353
WR,Logistic,0.6577540106951871,0.596221322537112,0.6729264543506029,0.5943526170798898,0.6129346522781774,0.5208333333333334,0.5859114634075935
