position,baseline_model,baseline_rmse,tuned_model,tuned_rmse,improvement
DB,SVR,8.62138971838972,SVR,8.558055698438514,0.06333401995120624
DL,SVR,8.547664533117057,SVR,10.545663823119314,-1.997999290002257
LB,SVR,10.232549379312822,SVR,10.70492535717275,-0.4723759778599277
OL,SVR,9.601727664873591,SVR,12.764396080973185,-3.162668416099594
QB,RF,17.047866481615806,RF,18.77754425707621,-1.7296777754604058
RB,SVR,11.87372831325028,SVR,11.923574882848365,-0.049846569598084756
TE,SVR,7.034329595659901,SVR,7.225329017405169,-0.19099942174526863
WR,Ridge,12.871411682469544,Ridge,12.864729097516841,0.006682584952702797
