position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
DB,SVC,0.6292682926829268,0.5522988505747126,0.6437566582562377,0.5522756547874624,0.5612116641528406,0.4230769230769231
DL,NaiveBayes,0.7802197802197802,0.6208333333333333,0.8045329670329671,0.6073343712160526,0.6696745966639321,0.5217391304347826
LB,GB,0.7230769230769231,0.5792880258899676,0.7268608414239482,0.5773809523809524,0.5817307692307692,0.34615384615384615
OL,ExtraTrees,0.7153284671532847,0.5887785730778111,0.7502962010425602,0.5872713414634146,0.6467948717948718,0.55
QB,GB,0.75,0.7150997150997151,0.7549857549857549,0.7087912087912087,0.7261904761904762,0.6666666666666666
RB,ExtraTrees,0.7627118644067796,0.5945017182130584,0.7450055332284932,0.6167734420500873,0.5862365591397849,0.28
TE,SVC,0.7590361445783133,0.6452991452991452,0.768715889197817,0.6365079365079365,0.6604477611940298,0.5
WR,Logistic,0.6577540106951871,0.596221322537112,0.6729264543506029,0.5943526170798898,0.6129346522781774,0.5208333333333334
