position,model,label_col,positive_class,best_params,cv_best_score,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
DB,SVC,star,1,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.5618701669322577,0.6146341463414634,0.5881335673050024,0.6396058458181285,0.6110529322162985,0.6466189039718452,0.7115384615384616
DL,NaiveBayes,star,1,{'var_smoothing': 1e-10},0.5198566791351916,0.7802197802197802,0.6208333333333333,0.8045329670329671,0.6073343712160526,0.6696745966639321,0.5217391304347826
LB,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.517614648273666,0.7307692307692307,0.6067755595886267,0.7392619479733817,0.6016617790811339,0.6153846153846154,0.4230769230769231
OL,GB,star,1,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.5499883666547493,0.7372262773722628,0.5727650727650728,0.7604443297873955,0.5678571428571428,0.5974358974358974,0.4
QB,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.5624915508745428,0.8,0.7537619699042408,0.7964432284541724,0.7642045454545454,0.746031746031746,0.6111111111111112
RB,GB,star,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.5924177134701545,0.7203389830508474,0.5469458987783595,0.7084627444020469,0.5530612244897959,0.5447311827956989,0.24
TE,SVC,star,1,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.6160198233846973,0.7590361445783133,0.6452991452991452,0.768715889197817,0.6365079365079365,0.6604477611940298,0.5
WR,ExtraTrees,star,1,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.6039930588492716,0.7219251336898396,0.6136363636363636,0.7131745260087506,0.6229591836734694,0.608363309352518,0.375
