category,main_metric,avg_final_score,std_final_score
Regression,r2,-0.19186184539015677,0.38302030307747587
Binary,f1_macro,0.6185188638262681,0.06246638748263119
Quantile,f1_macro,0.39430447423937715,0.03766557290855347
