position,baseline_model,baseline_f1_macro,tuned_model,tuned_f1_macro,improvement
DB,CatBoost,0.3960609441244373,Logistic,0.39955527760405807,0.003494333479620748
DL,CatBoost,0.3889855092709002,ExtraTrees,0.41619813358943797,0.02721262431853777
LB,XGBoost,0.3442939024315003,ExtraTrees,0.3059660645867542,-0.03832783784474614
OL,ExtraTrees,0.4044207005581665,ExtraTrees,0.38671514080263525,-0.01770555975553123
QB,ExtraTrees,0.4137806637806638,Logistic,0.39476755128929036,-0.01901311249137344
RB,RF,0.3971874621605935,ExtraTrees,0.3876041112883218,-0.00958335087227169
TE,Logistic,0.3738398820366033,Logistic,0.3615158431517694,-0.01232403888483391
WR,Logistic,0.4698618841475984,Logistic,0.459941670955567,-0.009920213192031402
