position,regression_r2,binary_f1_macro,quantile_f1_macro
DB,0.012466604601021558,0.5881335673050024,0.39275589275589273
DL,-0.6785047768936274,0.6208333333333333,0.41619813358943797
LB,-0.11311666865224357,0.6067755595886267,0.33905849259535037
OL,-0.9045145860481298,0.5727650727650728,0.40224921277552855
QB,0.14456413582743288,0.7537619699042408,0.4137806637806638
RB,-0.049946159349224306,0.5469458987783595,0.36933499031336164
TE,-0.023387300679000633,0.6452991452991452,0.3615158431517694
WR,0.07754398807251717,0.6136363636363636,0.4595425649530127
