category,comparison_metric,avg_absolute_improvement,std_absolute_improvement
Regression,rmse,-0.9416938557327036,1.2046410085082826
Binary,f1_macro,0.006978778323161128,0.029194193195455076
Quantile,f1_macro,-0.004249394324430764,0.015460765164361056
