position,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_star
DB,Logistic,0.4,0.39270639095303034,0.3943143056712357,0.4074829642852083,0.41504431782209555,0.5769230769230769
DL,ExtraTrees,0.35714285714285715,0.3526906526573969,0.36866106444781843,0.39593570843570847,0.44063826672522327,0.6956521739130435
LB,ExtraTrees,0.3076923076923077,0.3059660645867542,0.3014273083238601,0.33618128547134635,0.3471119929453263,0.5714285714285714
OL,ExtraTrees,0.40875912408759124,0.40442070055816653,0.42339030107614833,0.4731453841901603,0.47126927234454113,0.7142857142857143
QB,NaiveBayes,0.26666666666666666,0.14222222222222222,0.13511111111111113,0.09523809523809523,0.2807017543859649,0.8421052631578947
RB,SVC,0.2627118644067797,0.2106060606060606,0.21968412942989213,0.20711417096959264,0.29187048683904027,0.5925925925925926
TE,SVC,0.3253012048192771,0.26756874727193364,0.27129732373404575,0.27347242921013415,0.3796296296296296,0.7777777777777778
WR,XGBoost,0.37433155080213903,0.3588333206230816,0.3703726783469217,0.3572431351154755,0.3686181434599156,0.4375
