Sk,TFL,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
11.5,24.0,58.0,76.0,311.0,5.09,27.0,32.0,112.0,7.44,4.49,22.0,1,2002
11.5,24.0,58.0,79.0,308.0,4.87,24.0,27.5,110.0,7.71,4.66,23.0,2,2002
11.5,24.0,58.0,73.0,266.0,4.48,28.0,32.0,112.0,7.44,4.49,22.0,2,2002
11.5,24.0,58.0,76.0,308.0,4.91,25.0,32.0,112.0,7.44,4.49,21.0,1,2002
11.5,24.0,58.0,78.0,320.0,5.09,25.0,32.0,112.0,7.44,4.49,21.0,2,2002
11.5,24.0,58.0,76.0,266.0,4.47,33.0,34.5,112.0,7.44,4.49,23.0,2,2002
11.5,24.0,58.0,75.0,282.0,4.69,24.0,31.0,118.0,7.69,4.39,24.0,2,2002
11.5,24.0,58.0,77.0,265.0,4.75,25.0,32.0,112.0,7.44,4.49,22.0,2,2002
11.5,24.0,58.0,74.0,305.0,4.93,25.0,30.0,102.0,7.44,4.36,23.0,1,2002
11.5,24.0,58.0,77.0,310.0,4.91,32.0,34.5,111.0,7.85,4.81,24.0,0,2002
11.5,24.0,58.0,75.0,296.0,4.95,24.0,32.5,109.0,7.37,4.31,22.0,2,2002
11.5,24.0,58.0,75.0,279.0,4.81,24.0,33.5,114.0,7.46,4.27,24.0,0,2002
11.5,24.0,58.0,79.0,276.0,4.86,36.0,33.0,107.0,7.18,4.25,25.0,2,2002
11.5,24.0,58.0,75.0,259.0,4.65,21.0,32.5,116.0,7.37,4.31,22.0,0,2002
11.5,24.0,58.0,74.0,293.0,5.06,23.0,33.5,113.0,7.37,4.36,21.0,0,2002
11.5,24.0,58.0,77.0,304.0,5.0,30.0,31.0,109.0,7.83,4.67,23.0,0,2002
11.5,24.0,58.0,77.0,258.0,4.82,17.0,35.5,119.0,7.21,4.36,22.0,1,2002
11.5,24.0,58.0,75.0,260.0,4.74,25.0,32.0,112.0,7.44,4.49,23.0,2,2002
11.5,24.0,58.0,74.0,295.0,5.27,25.0,30.5,104.0,7.44,4.64,23.0,0,2002
11.5,24.0,58.0,75.0,272.0,4.87,25.0,31.0,109.0,7.52,4.25,23.0,2,2002
11.5,24.0,58.0,75.0,300.0,5.0,24.0,29.0,99.0,7.31,4.24,23.0,1,2002
11.5,24.0,58.0,75.0,294.0,4.96,30.0,33.0,108.0,7.43,4.41,23.0,2,2002
11.5,24.0,58.0,77.0,284.0,4.97,32.0,32.0,112.0,7.44,4.49,23.0,0,2002
11.5,24.0,58.0,75.0,279.0,5.08,22.0,32.0,112.0,7.44,4.49,23.0,0,2002
11.5,24.0,58.0,75.0,295.0,5.25,25.0,32.0,112.0,7.44,4.49,24.0,1,2002
11.5,24.0,58.0,76.0,268.0,4.9,26.0,32.5,110.0,7.5,4.61,22.0,0,2002
11.5,24.0,58.0,76.0,259.0,4.67,20.0,40.0,129.0,6.97,4.19,23.0,2,2002
11.5,24.0,58.0,77.0,279.0,4.89,26.0,33.5,107.0,7.28,4.51,23.0,2,2002
11.5,24.0,58.0,73.0,317.0,5.15,25.0,32.0,112.0,7.44,4.49,21.0,2,2003
11.5,24.0,58.0,75.0,313.0,5.1,25.0,32.0,112.0,7.44,4.49,22.0,1,2003
11.5,24.0,58.0,77.0,304.0,4.81,23.0,30.0,112.0,7.66,5.04,23.0,2,2003
11.5,24.0,58.0,75.0,262.0,4.84,25.0,32.0,112.0,7.44,4.49,20.0,2,2003
11.5,24.0,58.0,76.0,322.0,5.2,25.0,32.0,112.0,7.44,4.49,23.0,1,2003
11.5,24.0,58.0,77.0,307.0,5.1,27.0,32.0,112.0,7.44,4.49,22.0,2,2003
11.5,24.0,58.0,76.0,281.0,4.87,23.0,30.5,109.0,7.44,4.49,22.0,1,2003
11.5,24.0,58.0,74.0,264.0,4.67,25.0,34.0,117.0,7.28,4.58,24.0,0,2003
11.5,24.0,58.0,76.0,269.0,4.79,25.0,33.0,115.0,7.44,4.49,22.0,1,2003
11.5,24.0,58.0,77.0,308.0,5.18,29.0,32.0,112.0,7.44,4.49,24.0,1,2003
11.5,24.0,58.0,78.0,277.0,4.73,25.0,34.0,116.0,7.14,4.31,23.0,2,2003
11.5,24.0,58.0,76.0,273.0,4.75,23.0,36.5,121.0,7.44,4.49,23.0,2,2003
11.5,24.0,58.0,72.0,299.0,5.13,25.0,30.5,109.0,7.68,4.59,23.0,1,2003
11.5,24.0,58.0,76.0,266.0,4.86,14.0,37.0,114.0,7.69,4.5,22.0,0,2003
11.5,24.0,58.0,74.0,273.0,4.76,22.0,33.0,112.0,7.22,4.32,23.0,1,2003
11.5,24.0,58.0,76.0,279.0,4.88,24.0,32.0,112.0,7.44,4.49,22.0,2,2003
11.5,24.0,58.0,75.0,298.0,4.8,25.0,32.0,112.0,7.44,4.49,24.0,1,2003
11.5,24.0,58.0,74.0,263.0,4.7,29.0,32.0,113.0,7.53,4.47,24.0,0,2003
11.5,24.0,58.0,75.0,284.0,5.07,21.0,28.5,107.0,7.72,4.58,22.0,2,2003
11.5,24.0,58.0,74.0,312.0,5.16,28.0,28.5,99.0,8.12,5.0,21.0,2,2003
11.5,24.0,58.0,71.0,283.0,4.94,26.0,33.5,111.0,7.52,4.43,22.0,1,2003
11.5,24.0,58.0,78.0,302.0,5.1,25.0,32.0,105.0,7.44,4.49,22.0,1,2003
