ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
75.0,305.0,4.95,25.0,28.5,104.0,7.75,4.7,24.0,1,2003
77.0,301.0,5.26,21.0,28.5,104.0,7.75,4.7,24.0,0,2003
74.0,304.0,5.06,27.0,29.5,107.0,7.59,4.4,23.0,2,2003
78.0,303.0,5.08,37.0,31.0,104.0,7.72,4.57,22.0,0,2003
79.0,321.0,5.14,20.0,31.5,107.0,7.61,4.5,24.0,1,2003
76.0,296.0,5.14,24.0,32.5,114.0,7.62,4.75,22.0,1,2003
78.0,347.0,5.58,25.0,25.0,92.0,7.75,4.7,22.0,2,2003
76.0,321.0,5.18,28.0,30.0,106.0,7.95,4.58,23.0,0,2003
73.0,333.0,5.3,30.0,28.5,104.0,8.46,5.13,23.0,1,2003
77.0,321.0,5.25,25.0,27.5,99.0,8.57,5.01,23.0,0,2003
77.0,330.0,5.48,23.0,28.0,98.0,7.85,4.72,23.0,1,2003
77.0,307.0,5.0,18.0,30.0,109.0,7.7,4.49,24.0,0,2003
78.0,314.0,5.18,25.0,30.0,106.0,7.65,4.5,23.0,1,2003
78.0,310.0,5.26,22.0,28.0,96.0,8.1,4.97,22.0,2,2003
75.0,297.0,5.43,27.0,28.5,101.0,8.26,4.56,23.0,2,2003
75.0,301.0,5.14,30.0,30.0,105.0,7.75,4.77,23.0,1,2003
78.0,337.0,5.3,38.0,28.5,104.0,7.75,4.7,23.0,1,2003
75.0,300.0,5.16,23.0,29.0,104.0,8.35,4.56,22.0,2,2003
76.0,303.0,5.23,25.0,28.5,103.0,7.81,4.51,21.0,0,2003
76.0,307.0,5.05,36.0,24.5,95.0,8.24,4.92,23.0,1,2003
78.0,316.0,5.14,28.0,31.0,103.0,7.95,4.62,22.0,0,2003
77.0,340.0,5.08,27.0,32.5,108.0,8.06,4.54,25.0,0,2003
76.0,301.0,5.28,25.0,28.5,104.0,7.75,4.7,23.0,1,2003
