rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
144.0,1703.0,11.8,20.0,43.7,77.0,256.0,4.79,21.0,33.5,117.0,7.1,4.32,22.0,45.0,2005
107.0,1291.0,12.1,8.0,29.3,76.0,258.0,4.88,28.0,33.5,117.0,7.1,4.32,23.0,10.0,2005
32.0,400.0,12.5,3.0,16.7,77.0,241.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,0.0,2005
6.0,67.0,11.2,0.0,5.6,76.0,267.0,4.71,21.0,33.5,118.0,7.1,4.32,23.0,0.0,2005
75.0,997.0,13.3,5.0,22.7,75.0,249.0,4.75,24.0,32.5,114.0,7.21,4.12,24.0,20.0,2005
123.0,1295.0,10.5,10.0,29.4,76.0,260.0,4.72,22.0,36.0,113.0,7.09,4.01,23.0,0.0,2005
52.0,709.0,13.6,4.0,15.4,77.0,261.0,4.74,16.0,31.5,113.0,7.05,4.25,22.0,0.0,2005
83.0,1371.0,16.5,9.0,39.2,75.0,254.0,4.38,33.0,42.0,128.0,7.0,4.17,22.0,42.0,2006
126.0,1571.0,12.5,21.0,32.1,78.0,261.0,4.8,23.0,37.0,118.0,7.24,4.82,22.0,33.0,2006
86.0,1076.0,12.5,13.0,29.1,78.0,255.0,4.63,27.0,36.0,112.0,7.39,4.21,22.0,3.0,2006
92.0,1112.0,12.1,8.0,32.7,76.0,259.0,4.72,19.0,33.5,112.0,6.94,4.34,22.0,2.0,2006
117.0,1345.0,11.5,13.0,38.4,77.0,254.0,4.54,17.0,33.5,115.0,6.81,4.01,23.0,16.0,2006
65.0,1044.0,16.1,10.0,29.0,80.0,258.0,4.62,22.0,37.5,118.0,7.47,4.67,22.0,4.0,2006
98.0,1367.0,13.9,15.0,26.8,75.0,252.0,4.67,19.0,37.5,113.0,7.05,4.34,23.0,3.0,2006
80.0,958.0,12.0,4.0,35.5,75.0,255.0,4.79,21.0,33.5,117.0,7.1,4.32,22.0,0.0,2006
62.0,852.0,13.7,8.0,23.0,75.0,253.0,4.65,23.0,34.5,114.0,6.87,4.1,23.0,35.0,2006
12.0,144.0,12.0,0.0,3.8,75.0,266.0,4.84,23.0,32.5,115.0,7.31,4.3,23.0,0.0,2006
58.0,724.0,12.5,12.0,13.7,77.0,245.0,4.83,21.0,32.5,109.0,6.99,4.09,23.0,8.0,2006
44.0,563.0,12.8,5.0,10.4,78.0,268.0,4.77,20.0,32.5,114.0,7.09,4.52,24.0,2.0,2006
87.0,1215.0,14.0,6.0,36.8,78.0,254.0,4.51,23.0,35.5,114.0,7.04,4.48,22.0,11.0,2007
144.0,1512.0,10.5,14.0,43.2,76.0,256.0,4.87,21.0,34.0,115.0,7.01,4.42,21.0,20.0,2007
109.0,1293.0,11.9,12.0,27.5,79.0,270.0,4.83,21.0,33.5,117.0,7.1,4.32,23.0,2.0,2007
117.0,1467.0,12.5,10.0,39.6,79.0,270.0,4.78,16.0,30.0,111.0,7.26,4.32,22.0,0.0,2007
49.0,808.0,16.5,5.0,16.8,76.0,252.0,4.79,19.0,34.0,117.0,7.35,4.49,23.0,0.0,2007
75.0,958.0,12.9,8.0,25.7,78.0,252.0,4.78,21.0,35.0,116.0,6.96,4.41,23.0,14.0,2007
57.0,594.0,10.4,3.0,23.8,75.0,244.0,4.78,20.0,36.0,115.0,6.96,4.47,22.0,7.0,2007
79.0,781.0,9.9,2.0,25.2,75.0,252.0,4.74,21.0,34.5,111.0,7.21,4.31,23.0,4.0,2007
142.0,1882.0,13.3,16.0,40.9,74.0,242.0,4.53,26.0,38.0,131.0,6.88,4.14,23.0,22.0,2008
100.0,1093.0,10.9,8.0,23.3,77.0,251.0,4.88,20.0,30.5,113.0,7.12,4.28,24.0,12.0,2008
117.0,1408.0,12.0,13.0,29.3,75.0,255.0,4.68,24.0,33.5,117.0,7.1,4.32,22.0,14.0,2008
105.0,1246.0,11.9,10.0,35.6,78.0,259.0,4.68,18.0,34.0,118.0,7.64,4.53,21.0,4.0,2008
21.0,341.0,16.2,1.0,8.1,79.0,270.0,4.63,24.0,33.0,117.0,7.1,4.32,23.0,2.0,2008
51.0,669.0,13.1,7.0,13.4,75.0,254.0,4.59,27.0,27.5,114.0,7.07,4.31,24.0,5.0,2008
76.0,947.0,12.5,5.0,36.4,76.0,243.0,4.82,20.0,27.5,117.0,7.15,4.38,21.0,27.0,2008
203.0,2175.0,10.7,18.0,43.5,77.0,251.0,4.75,20.0,33.5,117.0,7.1,4.32,23.0,0.0,2008
133.0,1417.0,10.7,11.0,30.1,75.0,236.0,4.58,18.0,30.0,109.0,6.99,4.27,23.0,7.0,2008
98.0,1009.0,10.3,10.0,21.0,75.0,251.0,4.83,24.0,29.0,115.0,6.8,4.19,25.0,2.0,2008
108.0,1491.0,13.8,17.0,31.7,78.0,243.0,4.61,22.0,31.0,117.0,6.92,4.23,22.0,3.0,2008
60.0,789.0,13.2,9.0,18.8,78.0,262.0,4.59,22.0,28.0,118.0,7.25,4.38,22.0,5.0,2008
