rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
49.0,837.0,17.1,10.0,36.4,76.0,251.0,4.75,17.0,31.5,113.0,7.19,4.31,23.0,1.0,2019
51.0,637.0,12.5,8.0,22.0,77.0,252.0,4.67,19.0,36.5,122.0,7.21,4.25,22.0,0.0,2019
39.0,605.0,15.5,0.0,22.4,76.0,254.0,4.72,16.0,34.5,117.0,7.12,4.27,22.0,25.0,2019
28.0,373.0,13.3,2.0,11.0,75.0,267.0,4.89,24.0,31.0,117.0,7.18,4.38,23.0,0.0,2019
52.0,629.0,12.1,6.0,12.8,76.0,253.0,4.66,22.0,36.5,121.0,7.16,4.11,22.0,8.0,2019
49.0,817.0,16.7,4.0,31.4,80.0,265.0,4.9,12.0,29.5,110.0,7.4,4.53,22.0,2.0,2019
68.0,905.0,13.3,8.0,21.5,75.0,244.0,4.91,19.0,28.0,117.0,7.45,4.43,22.0,0.0,2019
99.0,1281.0,12.9,10.0,25.6,76.0,251.0,4.83,17.0,33.5,117.0,7.1,4.32,24.0,1.0,2019
60.0,691.0,11.5,6.0,19.7,78.0,262.0,4.7,21.0,37.0,123.0,7.44,4.41,21.0,25.0,2020
52.0,789.0,15.2,6.0,23.2,75.0,257.0,4.73,16.0,30.5,115.0,7.1,4.32,23.0,0.0,2020
92.0,1117.0,12.1,12.0,24.3,74.0,242.0,4.72,25.0,35.5,115.0,7.15,4.35,23.0,4.0,2020
59.0,748.0,12.7,8.0,19.7,76.0,253.0,4.71,21.0,34.0,125.0,7.07,4.19,21.0,0.0,2020
75.0,958.0,12.9,8.0,25.7,77.0,255.0,4.8,18.0,34.5,114.0,6.78,4.27,23.0,6.0,2020
148.0,2137.0,14.4,16.0,44.5,77.0,243.0,4.73,13.0,32.5,110.0,7.41,4.37,22.0,7.0,2020
98.0,1187.0,12.1,23.0,36.0,77.0,258.0,4.49,21.0,33.5,117.0,7.1,4.32,22.0,5.0,2020
87.0,1171.0,13.5,12.0,30.0,79.0,252.0,4.77,18.0,32.5,109.0,7.15,4.46,21.0,5.0,2020
130.0,1945.0,15.0,16.0,40.5,76.0,245.0,4.66,21.0,33.5,116.0,7.25,4.28,23.0,2.0,2020
34.0,376.0,11.1,1.0,7.1,77.0,244.0,4.78,21.0,34.5,120.0,7.18,4.46,22.0,0.0,2020
46.0,712.0,15.5,3.0,17.4,77.0,248.0,4.66,21.0,36.5,123.0,7.51,4.62,23.0,0.0,2020
100.0,1492.0,14.9,18.0,46.6,77.0,245.0,4.44,22.0,33.5,129.0,7.12,4.3,20.0,28.0,2021
92.0,1185.0,12.9,16.0,39.5,77.0,251.0,4.72,26.0,33.5,117.0,7.1,4.32,22.0,22.0,2021
35.0,396.0,11.3,4.0,15.8,75.0,241.0,4.6,20.0,36.5,122.0,7.1,4.32,21.0,7.0,2021
56.0,628.0,11.2,3.0,15.0,76.0,247.0,4.72,21.0,33.5,117.0,7.1,4.32,22.0,1.0,2021
34.0,380.0,11.2,4.0,8.8,77.0,251.0,4.79,22.0,36.5,118.0,7.14,4.36,23.0,2.0,2021
105.0,1358.0,12.9,13.0,43.8,74.0,247.0,4.64,17.0,31.0,116.0,7.1,4.32,21.0,4.0,2021
105.0,948.0,9.0,8.0,19.8,75.0,240.0,4.55,15.0,35.0,115.0,6.83,4.37,22.0,11.0,2021
164.0,2100.0,12.8,10.0,52.5,76.0,246.0,4.72,18.0,33.0,117.0,7.1,4.32,22.0,29.0,2022
75.0,959.0,12.8,12.0,21.3,79.0,259.0,4.61,24.0,33.5,117.0,7.1,4.32,23.0,2.0,2022
77.0,1353.0,17.6,11.0,41.0,76.0,243.0,4.69,16.0,34.0,122.0,7.05,4.37,22.0,3.0,2022
54.0,615.0,11.4,12.0,14.0,77.0,250.0,4.72,19.0,33.5,117.0,7.1,4.32,22.0,4.0,2022
91.0,1026.0,11.3,9.0,26.3,77.0,247.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,17.0,2022
68.0,771.0,11.3,5.0,17.9,77.0,253.0,4.63,22.0,34.5,125.0,7.05,4.47,21.0,9.0,2022
168.0,2181.0,13.0,23.0,44.5,79.0,252.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,4.0,2022
145.0,1618.0,11.2,13.0,34.4,77.0,250.0,4.81,15.0,31.5,118.0,7.03,4.48,23.0,19.0,2022
133.0,2050.0,15.4,27.0,42.7,77.0,245.0,4.72,21.0,36.0,117.0,7.1,4.57,22.0,15.0,2022
77.0,717.0,9.3,8.0,18.9,75.0,238.0,4.52,21.0,35.5,117.0,7.1,4.32,22.0,16.0,2022
117.0,1370.0,11.7,20.0,30.4,78.0,246.0,4.76,17.0,27.0,120.0,7.06,4.41,22.0,1.0,2022
40.0,512.0,12.8,6.0,12.2,78.0,258.0,4.72,22.0,33.5,117.0,7.1,4.32,22.0,1.0,2022
52.0,838.0,16.1,7.0,33.5,76.0,249.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,1.0,2022
79.0,1102.0,13.9,13.0,24.5,76.0,241.0,4.62,20.0,33.5,117.0,7.1,4.32,23.0,5.0,2022
75.0,958.0,12.9,8.0,25.7,71.0,233.0,4.72,21.0,32.5,117.0,7.1,4.32,23.0,3.0,2022
75.0,958.0,12.9,8.0,25.7,76.0,246.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,17.0,2023
75.0,958.0,12.9,8.0,25.7,75.0,245.0,4.59,21.0,35.0,123.0,6.91,4.25,22.0,21.0,2023
75.0,958.0,12.9,8.0,25.7,77.0,249.0,4.7,21.0,32.5,118.0,7.1,4.32,22.0,7.0,2023
75.0,958.0,12.9,8.0,25.7,78.0,253.0,4.61,21.0,36.0,125.0,7.1,4.32,23.0,6.0,2023
75.0,958.0,12.9,8.0,25.7,77.0,251.0,4.63,21.0,33.5,127.0,7.1,4.27,24.0,4.0,2023
75.0,958.0,12.9,8.0,25.7,76.0,253.0,4.7,23.0,36.0,124.0,7.25,4.46,22.0,8.0,2023
75.0,958.0,12.9,8.0,25.7,77.0,254.0,4.69,23.0,34.0,122.0,7.08,4.29,22.0,15.0,2023
75.0,958.0,12.9,8.0,25.7,79.0,264.0,4.64,21.0,31.0,122.0,7.1,4.08,22.0,7.0,2023
75.0,958.0,12.9,8.0,25.7,79.0,248.0,4.69,21.0,33.5,115.0,7.1,4.32,23.0,3.0,2023
75.0,958.0,12.9,8.0,25.7,77.0,239.0,4.54,20.0,36.5,121.0,7.1,4.32,24.0,2.0,2023
75.0,958.0,12.9,8.0,25.7,78.0,253.0,4.87,21.0,34.5,117.0,7.1,4.32,23.0,2.0,2023
75.0,958.0,12.9,8.0,25.7,78.0,245.0,4.84,21.0,38.5,125.0,7.1,4.32,22.0,3.0,2023
75.0,958.0,12.9,8.0,25.7,79.0,255.0,4.55,23.0,40.0,128.0,6.87,4.12,24.0,0.0,2023
75.0,958.0,12.9,8.0,25.7,76.0,241.0,4.72,20.0,32.0,117.0,7.3,4.36,23.0,0.0,2023
75.0,958.0,12.9,8.0,25.7,75.0,243.0,4.72,21.0,33.5,117.0,7.1,4.32,21.0,14.0,2024
75.0,958.0,12.9,8.0,25.7,76.0,250.0,4.68,21.0,40.0,126.0,6.82,4.23,22.0,1.0,2024
75.0,958.0,12.9,8.0,25.7,77.0,271.0,4.64,28.0,33.5,121.0,7.02,4.26,22.0,0.0,2024
75.0,958.0,12.9,8.0,25.7,76.0,245.0,4.69,21.0,33.5,117.0,7.1,4.32,21.0,5.0,2024
75.0,958.0,12.9,8.0,25.7,76.0,252.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,1.0,2024
75.0,958.0,12.9,8.0,25.7,78.0,251.0,4.72,21.0,33.5,117.0,7.1,4.32,22.0,7.0,2024
75.0,958.0,12.9,8.0,25.7,76.0,247.0,4.65,21.0,34.5,117.0,7.1,4.45,24.0,2.0,2024
75.0,958.0,12.9,8.0,25.7,78.0,249.0,4.62,21.0,37.0,118.0,7.19,4.32,23.0,0.0,2024
75.0,958.0,12.9,8.0,25.7,77.0,244.0,4.61,21.0,35.0,117.0,7.1,4.32,25.0,0.0,2024
75.0,958.0,12.9,8.0,25.7,74.0,241.0,4.61,21.0,35.0,124.0,7.1,4.32,23.0,0.0,2024
75.0,958.0,12.9,8.0,25.7,75.0,231.0,4.47,21.0,33.5,117.0,7.1,4.32,24.0,1.0,2024
75.0,958.0,12.9,8.0,25.7,78.0,248.0,4.72,21.0,33.5,117.0,7.1,4.32,21.0,7.0,2025
75.0,958.0,12.9,8.0,25.7,78.0,256.0,4.72,21.0,33.5,117.0,7.1,4.32,23.0,9.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,251.0,4.72,21.0,33.5,117.0,7.1,4.32,21.0,3.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,247.0,4.63,21.0,39.0,122.0,7.1,4.32,22.0,2.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,250.0,4.72,22.0,33.5,117.0,7.1,4.32,22.0,2.0,2025
75.0,958.0,12.9,8.0,25.7,75.0,241.0,4.71,22.0,34.0,118.0,6.97,4.39,21.0,5.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,241.0,4.84,21.0,30.0,117.0,7.15,4.4,23.0,3.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,258.0,4.74,21.0,31.0,115.0,7.25,4.4,22.0,2.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,243.0,4.72,21.0,34.0,114.0,7.1,4.32,22.0,6.0,2025
75.0,958.0,12.9,8.0,25.7,77.0,253.0,4.82,16.0,34.5,121.0,7.1,4.4,24.0,2.0,2025
75.0,958.0,12.9,8.0,25.7,75.0,274.0,4.91,26.0,34.0,119.0,7.34,4.45,23.0,0.0,2025
75.0,958.0,12.9,8.0,25.7,78.0,260.0,4.81,21.0,32.5,114.0,7.1,4.32,22.0,0.0,2025
