rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,128.0,2131.0,16.6,20.0,56.1,75.0,199.0,4.56,18.0,37.5,121.0,7.03,4.29,22.0,3.0,2000
499.0,2599.0,5.2,27.0,54.0,369.0,6.8,0.0,122.0,1807.0,14.4,14.5,46.2,73.0,231.0,4.57,23.0,36.0,117.0,7.0,4.245,23.0,1.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,176.0,2443.0,13.9,15.0,54.3,71.0,204.0,4.5,18.0,35.0,120.0,7.33,4.18,23.0,1.0,2000
483.0,2822.0,5.8,27.0,51.0,590.0,11.6,5.0,122.0,1807.0,14.4,14.5,46.2,71.0,193.0,4.5,18.0,35.0,120.0,7.0,4.245,22.0,4.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,25.0,348.0,13.9,1.0,10.5,76.0,254.0,4.66,18.0,32.5,121.0,6.97,4.18,22.0,0.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,59.0,645.0,10.9,2.0,14.7,75.0,255.0,4.75,31.0,35.0,120.0,7.0,4.245,22.0,0.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,244.0,3986.0,16.3,26.0,94.9,66.0,171.0,4.55,18.0,32.5,106.0,6.61,3.84,23.0,0.0,2000
506.0,2493.0,4.9,24.0,37.0,251.0,6.8,1.0,122.0,1807.0,14.4,14.5,46.2,68.0,182.0,4.5,18.0,36.0,121.0,7.0,4.245,23.0,3.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,70.0,1403.0,20.0,15.0,58.5,71.0,180.0,4.59,18.0,36.0,123.0,7.22,4.16,22.0,4.0,2000
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,162.0,2249.0,13.9,14.0,68.2,73.0,202.0,4.56,18.0,35.5,125.0,7.3,4.25,22.0,1.0,2000
448.0,2292.0,5.1,21.0,13.0,116.0,8.9,0.0,122.0,1807.0,14.4,14.5,46.2,67.0,204.0,4.6,13.0,35.0,111.0,7.14,4.14,22.0,0.0,2000
453.0,2238.0,4.9,29.0,33.0,302.0,9.2,4.0,122.0,1807.0,14.4,14.5,46.2,72.0,212.0,4.69,18.0,33.0,120.0,6.89,4.15,23.0,2.0,2000
907.0,5263.0,5.8,54.0,39.0,238.0,6.1,0.0,122.0,1807.0,14.4,14.5,46.2,70.0,221.0,4.46,18.0,40.5,124.0,6.84,4.21,22.0,121.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,137.0,2005.0,14.6,19.0,59.0,75.0,213.0,4.43,18.0,35.0,120.0,7.0,4.245,22.0,11.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,110.0,1914.0,17.4,15.0,87.0,73.0,211.0,4.61,18.0,35.0,120.0,7.0,4.245,21.0,30.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,151.0,2302.0,15.2,12.0,52.3,74.0,219.0,4.48,18.0,35.0,120.0,7.0,4.245,23.0,23.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,143.0,2547.0,17.8,19.0,60.6,70.0,184.0,4.31,18.0,35.0,120.0,7.0,4.245,22.0,23.0,2001
616.0,3060.0,5.0,37.0,63.0,616.0,9.8,2.0,122.0,1807.0,14.4,14.5,46.2,73.0,222.0,4.41,18.0,35.0,120.0,7.0,4.245,22.0,55.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,110.0,1955.0,17.8,9.0,59.2,71.0,185.0,4.46,18.0,39.5,120.0,6.95,4.06,22.0,13.0,2001
350.0,1890.0,5.4,14.0,5.0,52.0,10.4,0.0,122.0,1807.0,14.4,14.5,46.2,69.0,207.0,4.38,13.0,39.5,130.0,7.0,4.245,23.0,29.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,173.0,2510.0,14.5,20.0,55.8,72.0,198.0,4.45,18.0,35.0,120.0,7.0,4.245,22.0,116.0,2001
516.0,2856.0,5.5,27.0,49.0,444.0,9.2,2.0,107.0,1619.0,15.1,10.0,49.1,77.0,252.0,4.68,18.0,35.0,120.0,7.0,4.245,21.0,42.0,2001
