qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,av_class_q,draft_year
713.0,1064.0,67.0,9430.0,82.0,22.0,8.9,9.47,248.2,76.0,234.0,4.59,22.0,36.0,124.0,6.8,4.28,22.0,2,2012
800.0,1192.0,67.1,10366.0,78.0,17.0,8.7,9.36,252.8,74.0,223.0,4.33,22.0,39.0,120.0,7.09,4.28,22.0,2,2012
479.0,765.0,62.6,5382.0,42.0,21.0,7.0,6.9,207.0,76.0,221.0,4.65,22.0,32.25,112.0,7.09,4.28,24.0,2,2012
767.0,1103.0,69.5,9260.0,75.0,27.0,8.4,8.65,308.7,75.0,221.0,4.89,22.0,32.25,112.0,7.09,4.28,28.0,1,2012
412.0,680.0,60.6,5082.0,33.0,15.0,7.5,7.45,203.3,79.0,242.0,4.83,22.0,32.25,112.0,7.09,4.28,21.0,1,2012
907.0,1489.0,60.9,11720.0,109.0,30.0,7.9,8.43,234.4,71.0,204.0,4.53,22.0,34.0,118.0,6.97,4.09,23.0,2,2012
938.0,1404.0,66.8,10068.0,67.0,33.0,7.2,7.07,279.7,77.0,243.0,5.14,22.0,30.5,112.0,7.09,4.28,23.0,2,2012
723.0,1128.0,64.1,9131.0,66.0,30.0,8.1,8.07,202.9,75.0,214.0,4.84,22.0,28.5,109.0,7.05,4.5,24.0,2,2012
961.0,1732.0,55.5,12690.0,90.0,47.0,7.3,7.14,259.0,76.0,229.0,4.86,22.0,29.5,108.0,7.52,4.45,23.0,0,2012
600.0,897.0,66.9,7741.0,47.0,28.0,8.6,8.27,180.0,77.0,237.0,4.65,22.0,34.0,118.0,7.08,4.21,23.0,1,2013
988.0,1465.0,67.4,11662.0,98.0,21.0,8.0,8.65,265.0,74.0,218.0,4.58,22.0,33.5,124.0,7.09,4.28,22.0,1,2013
646.0,1069.0,60.4,7411.0,63.0,31.0,6.9,6.81,205.9,79.0,225.0,4.94,22.0,26.5,102.0,7.49,4.52,23.0,1,2013
1001.0,1562.0,64.1,12327.0,116.0,48.0,7.9,7.99,262.3,74.0,227.0,4.91,22.0,32.25,112.0,7.09,4.28,22.0,0,2013
791.0,1312.0,60.3,9190.0,70.0,28.0,7.0,7.11,195.5,74.0,227.0,5.06,22.0,28.5,105.0,7.34,4.53,23.0,0,2013
1388.0,2183.0,63.6,16646.0,123.0,52.0,7.6,7.68,314.1,76.0,225.0,5.11,22.0,31.0,115.0,7.12,4.3,24.0,1,2013
898.0,1389.0,64.7,9465.0,51.0,40.0,6.8,6.25,225.4,75.0,219.0,4.76,22.0,32.25,112.0,7.09,4.28,23.0,0,2013
585.0,891.0,65.7,7598.0,56.0,19.0,8.5,8.82,205.4,77.0,232.0,4.93,22.0,32.5,115.0,7.08,4.21,22.0,2,2014
595.0,863.0,68.9,7820.0,63.0,22.0,9.1,9.37,300.8,72.0,207.0,4.68,22.0,31.5,113.0,6.75,4.03,21.0,1,2014
781.0,1142.0,68.4,9817.0,72.0,24.0,8.6,8.91,251.7,74.0,214.0,4.795,22.0,30.0,113.0,7.17,4.2,21.0,2,2014
1087.0,1630.0,66.7,12843.0,113.0,24.0,7.9,8.6,291.9,74.0,214.0,4.69,22.0,34.5,110.0,7.09,4.2,23.0,2,2014
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,74.0,226.0,4.97,22.0,30.5,110.0,7.04,4.26,22.0,0,2014
693.0,1248.0,55.5,9003.0,52.0,39.0,7.2,6.64,191.6,78.0,248.0,4.61,22.0,35.5,118.0,7.05,4.18,23.0,0,2014
430.0,757.0,56.8,5690.0,37.0,19.0,7.5,7.36,183.5,76.0,228.0,4.97,22.0,27.0,105.0,7.33,4.36,24.0,1,2014
686.0,1026.0,66.9,9019.0,77.0,15.0,8.8,9.63,170.2,75.0,220.0,4.94,22.0,28.0,99.0,7.18,4.34,23.0,1,2014
407.0,659.0,61.8,5783.0,35.0,15.0,8.8,8.81,192.8,77.0,224.0,4.795,22.0,32.25,112.0,7.09,4.28,23.0,0,2014
639.0,938.0,68.1,8382.0,66.0,22.0,8.9,9.29,335.3,74.0,212.0,4.99,22.0,28.0,103.0,7.55,4.5,23.0,0,2014
562.0,851.0,66.0,7964.0,65.0,28.0,9.4,9.41,295.0,76.0,231.0,4.97,22.0,28.5,103.0,7.16,4.36,21.0,2,2015
779.0,1167.0,66.8,10796.0,105.0,14.0,9.3,10.51,263.3,76.0,222.0,4.52,22.0,36.0,121.0,6.87,4.11,21.0,2,2015
1187.0,1838.0,64.6,13600.0,83.0,54.0,7.4,6.98,289.4,78.0,229.0,5.14,22.0,31.0,105.0,7.29,4.39,23.0,0,2015
530.0,845.0,62.7,8195.0,62.0,10.0,9.7,10.63,221.5,75.0,230.0,4.87,22.0,34.0,121.0,6.91,4.13,24.0,1,2015
837.0,1241.0,67.4,9966.0,75.0,25.0,8.0,8.33,249.2,75.0,226.0,4.63,22.0,36.0,120.0,6.93,3.98,22.0,1,2015
977.0,1569.0,62.3,12200.0,96.0,30.0,7.8,8.14,329.7,76.0,215.0,4.82,22.0,27.0,110.0,7.17,4.47,21.0,2,2016
634.0,1023.0,61.849999999999994,8198.0,60.0,24.0,7.85,7.9,206.85,77.0,237.0,4.77,22.0,30.5,118.0,6.86,4.15,23.0,2,2016
758.0,1205.0,62.9,8863.0,59.0,23.0,7.4,7.48,233.2,79.0,244.0,4.86,22.0,36.0,118.0,7.14,4.26,22.0,0,2016
