rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,star,draft_year
227.0,3119.0,13.7,24.0,69.3,75.0,217.0,4.54,15.0,36.0,122.0,6.93,4.2,23.0,1,2010
147.0,2224.5,14.9,17.0,57.4,71.0,195.0,4.4,15.0,36.0,120.0,6.77,4.15,22.0,1,2010
147.0,2224.5,14.9,17.0,57.4,71.0,187.0,4.41,15.0,36.0,122.0,6.93,4.2,22.0,0,2010
149.0,2019.0,13.6,14.0,38.8,72.0,204.0,4.4,16.0,37.0,114.0,6.82,4.34,22.0,0,2010
204.0,3003.0,14.7,25.0,75.1,72.0,187.0,4.61,15.0,39.0,116.0,6.92,4.4,23.0,0,2010
133.0,2044.0,15.4,20.0,70.5,73.0,221.0,4.53,8.0,33.5,116.0,6.9,4.31,23.0,1,2010
53.0,997.0,18.8,8.0,29.3,75.0,210.0,4.39,16.0,34.0,123.0,6.94,4.6,22.0,0,2010
143.0,1986.0,13.9,16.0,41.4,69.0,186.0,4.28,15.0,33.5,115.0,7.0,4.44,23.0,0,2010
106.0,1615.0,15.2,11.0,62.1,72.0,191.0,4.56,15.0,37.0,114.0,6.95,4.38,23.0,0,2010
81.0,1496.0,18.5,18.0,29.3,75.0,222.0,4.53,15.0,33.0,114.0,6.93,4.2,22.0,1,2010
199.0,2030.0,10.2,16.0,81.2,74.0,224.0,4.62,13.0,35.0,115.0,6.93,4.23,23.0,0,2010
105.0,1648.0,15.7,9.0,44.5,75.0,215.0,4.46,16.0,36.0,122.0,6.96,4.55,22.0,0,2010
305.0,3199.0,10.5,22.0,78.0,70.0,186.0,4.56,13.0,33.5,105.0,6.98,4.18,22.0,1,2010
147.0,2224.5,14.9,17.0,57.4,65.0,166.0,4.34,10.0,42.0,116.0,6.54,4.48,24.0,0,2010
116.0,1555.0,13.4,4.0,33.1,75.0,217.0,4.43,15.0,34.5,124.0,6.94,4.41,23.0,0,2010
109.0,1626.0,14.9,18.0,39.7,70.0,188.0,4.4,11.0,33.0,118.0,7.0,4.19,22.0,0,2010
166.0,2619.0,15.8,23.0,81.8,76.0,211.0,4.48,18.0,34.5,126.0,6.91,4.21,23.0,1,2011
179.0,2653.0,14.8,15.0,66.3,75.0,220.0,4.34,17.0,38.5,135.0,6.66,4.25,22.0,1,2011
128.0,2337.0,18.3,16.0,59.9,76.0,228.0,4.49,20.0,42.0,129.0,7.07,4.34,22.0,0,2011
204.0,3063.0,15.0,25.0,71.2,71.0,174.0,4.43,15.0,36.0,123.0,6.93,4.2,22.0,0,2011
152.0,2215.0,14.6,19.0,58.3,73.0,204.0,4.41,19.0,41.0,126.0,6.72,4.13,22.0,1,2011
75.0,823.0,11.0,6.0,34.3,74.0,231.0,4.51,27.0,40.5,129.0,6.8,4.21,22.0,0,2011
147.0,2224.5,14.9,17.0,57.4,70.0,191.0,4.46,16.0,33.5,115.0,7.08,4.34,21.0,1,2011
229.0,2838.0,12.4,39.0,54.6,75.0,209.0,4.56,14.0,33.5,120.0,6.68,3.88,23.0,0,2011
134.0,2160.0,16.1,22.0,51.4,73.0,209.0,4.4,14.0,36.0,117.0,6.94,4.21,22.0,0,2011
209.0,3110.0,14.9,23.0,70.7,71.0,187.0,4.68,12.0,33.5,121.0,6.64,4.25,22.0,0,2011
262.0,3128.0,11.9,18.0,62.6,69.0,185.0,4.46,11.0,37.5,124.0,7.07,4.25,22.0,0,2011
