Sk,Solo,Ast,Comb,TFL,Int,PD,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
1.0,13.0,7.0,20.0,2.0,,,76.0,300.0,4.88,31.0,33.0,111.0,7.6,4.45,23.0,27.0,2006
9.0,33.0,31.0,64.0,11.0,,,75.0,276.0,5.08,24.0,33.0,116.0,7.23,4.39,23.0,5.0,2006
4.5,40.0,18.0,58.0,6.5,,,77.0,262.0,4.63,27.0,33.0,116.0,7.75,4.51,24.0,0.0,2006
2.0,81.0,75.0,156.0,7.0,,,73.0,242.0,4.73,24.0,38.0,118.0,7.09,4.07,22.0,1.0,2006
3.0,11.0,16.0,27.0,7.5,,,77.0,300.0,5.08,31.0,32.0,110.0,7.84,4.51,22.0,4.0,2006
8.0,21.0,10.0,31.0,13.5,,,74.0,262.0,4.7,19.0,39.0,114.0,7.87,4.5,21.0,1.0,2006
4.0,29.0,14.0,43.0,14.5,,,76.0,258.0,4.7,19.0,33.5,115.0,7.48,4.52,23.0,0.0,2006
21.0,59.0,37.0,96.0,27.5,,,77.0,258.0,4.64,24.0,35.0,119.0,7.17,4.36,24.0,17.0,2007
17.0,58.0,24.0,82.0,31.0,,,77.0,288.0,4.75,24.0,33.0,116.0,7.23,4.39,21.0,19.0,2007
8.5,50.0,27.0,77.0,16.5,,,74.0,302.0,5.07,29.0,30.0,111.0,7.46,4.39,20.0,21.0,2007
6.0,177.0,88.0,265.0,21.0,,,73.0,242.0,4.51,22.0,39.0,119.0,7.23,4.46,22.0,93.0,2007
16.5,50.0,45.0,95.0,28.5,,,78.0,296.0,4.9,33.0,33.5,110.0,7.06,4.18,23.0,9.0,2007
8.0,59.0,55.0,114.0,21.5,,,73.0,234.0,4.66,25.0,35.0,123.0,6.89,4.32,21.0,68.0,2007
2.5,24.0,22.0,46.0,9.0,,,76.0,300.0,5.04,24.0,30.5,108.0,7.63,4.79,23.0,2.0,2007
15.0,61.0,20.0,81.0,22.0,,,78.0,250.0,4.7,16.0,30.5,120.0,7.23,4.39,23.0,2.0,2007
1.5,81.0,51.0,132.0,15.5,,,72.0,237.0,4.72,19.0,33.0,111.0,7.23,4.39,22.0,48.0,2007
12.5,84.0,31.0,115.0,32.0,,,75.0,261.0,4.7,30.0,32.5,112.0,7.14,4.43,23.0,34.0,2007
4.5,33.0,23.0,56.0,13.0,,,78.0,324.0,5.07,33.0,27.5,107.0,7.23,4.39,22.0,4.0,2007
6.0,133.0,99.0,232.0,20.5,,,74.0,238.0,4.7,22.0,37.0,116.0,6.94,4.2,22.0,17.0,2007
18.0,57.0,27.0,84.0,30.5,,,73.0,266.0,4.74,24.0,33.0,116.0,7.23,4.39,22.0,50.0,2007
3.0,73.0,23.0,96.0,15.0,,,74.0,243.0,4.59,23.0,33.0,107.0,7.25,4.29,23.0,73.0,2007
3.5,54.0,29.0,83.0,12.0,,,74.0,277.0,4.81,27.0,31.0,108.0,7.1,4.12,22.0,6.0,2007
11.5,47.0,17.0,64.0,21.0,,,76.0,272.0,4.69,32.0,30.5,111.0,7.28,4.32,22.0,2.0,2007
19.0,59.0,31.0,90.0,30.5,,,76.0,267.0,4.8,25.0,33.0,116.0,7.23,4.39,21.0,5.0,2007
9.0,45.0,43.0,88.0,17.5,,,77.0,280.0,4.85,24.0,33.0,116.0,7.23,4.39,22.0,1.0,2007
16.5,39.0,30.0,69.0,26.0,,,75.0,304.0,5.17,24.0,25.5,103.0,7.81,4.83,24.0,4.0,2007
13.5,51.0,16.0,67.0,27.5,,,74.0,270.0,4.84,33.0,34.0,118.0,7.5,4.39,21.0,47.0,2007
11.0,39.0,42.0,81.0,19.5,,,73.0,309.0,5.15,24.0,24.0,106.0,7.94,4.65,22.0,50.0,2007
4.0,53.0,48.0,101.0,9.0,,,76.0,254.0,4.72,28.0,35.5,112.0,7.29,4.17,23.0,17.0,2007
0.0,59.0,75.0,134.0,6.5,,,76.0,223.0,4.58,16.0,35.0,116.0,7.23,4.39,23.0,5.0,2007
1.5,67.0,38.0,105.0,12.5,,,75.0,245.0,4.59,25.0,33.0,116.0,7.23,4.39,23.0,1.0,2007
4.0,26.0,18.0,44.0,7.5,,,75.0,276.0,4.88,24.0,33.0,116.0,7.23,4.39,22.0,35.0,2007
9.0,35.0,32.0,67.0,15.0,,,74.0,299.0,4.93,24.0,34.0,112.0,7.23,4.39,23.0,1.0,2007
11.0,41.0,20.0,61.0,21.0,,,75.0,259.0,4.67,27.0,40.5,121.0,6.89,4.26,24.0,46.0,2007
3.0,13.0,28.0,41.0,5.0,,,76.0,344.0,5.1,24.0,29.5,103.0,7.66,4.69,23.0,32.0,2007
14.5,120.0,48.0,168.0,31.0,,,73.0,232.0,4.64,29.0,33.5,110.0,7.29,4.45,24.0,27.0,2007
7.0,36.0,36.0,72.0,17.0,,,76.0,271.0,4.69,22.0,33.0,111.0,7.23,4.39,22.0,2.0,2007
8.0,37.0,34.0,71.0,16.0,,,75.0,314.0,5.23,27.0,33.0,116.0,7.23,4.39,21.0,14.0,2007
4.5,12.0,13.0,25.0,7.0,,,76.0,286.0,4.98,27.0,28.0,108.0,7.79,4.46,23.0,0.0,2007
15.5,69.0,45.0,114.0,38.0,,,73.0,240.0,4.43,31.0,35.0,122.0,7.29,4.32,22.0,3.0,2007
6.0,20.0,16.0,36.0,10.5,,,78.0,279.0,5.0,20.0,33.0,112.0,7.5,4.54,23.0,11.0,2007
2.0,16.0,20.0,36.0,7.0,,,75.0,310.0,5.15,28.0,29.0,108.0,7.47,4.49,22.0,3.0,2007
7.0,42.0,17.0,59.0,10.0,,,75.0,310.0,5.12,25.0,26.5,102.0,7.49,4.69,23.0,13.0,2007
11.5,69.0,51.0,120.0,14.5,,,73.0,236.0,4.51,26.0,36.5,116.0,7.01,4.12,23.0,1.0,2007
10.0,50.0,58.0,108.0,23.5,,,74.0,288.0,4.96,24.0,33.0,116.0,7.23,4.39,23.0,2.0,2007
8.5,131.0,89.0,220.0,26.5,,,73.0,228.0,4.79,25.0,35.0,117.0,7.06,4.3,24.0,0.0,2007
2.0,153.0,115.0,268.0,14.0,,,71.0,236.0,4.69,22.0,33.0,116.0,7.23,4.39,22.0,9.0,2007
3.0,127.0,88.0,215.0,21.0,,,74.0,239.0,4.78,33.0,33.0,116.0,7.23,4.39,23.0,17.0,2007
4.0,80.0,49.0,129.0,10.5,,,75.0,240.0,4.82,19.0,32.5,106.0,7.01,4.31,23.0,2.0,2007
4.5,107.0,92.0,199.0,11.5,,,74.0,240.0,4.8,26.0,32.0,110.0,7.19,4.42,23.0,0.0,2007
1.0,95.0,31.0,126.0,13.5,,,75.0,249.0,4.87,22.0,32.0,108.0,7.29,4.25,22.0,5.0,2007
7.0,86.0,55.0,141.0,19.0,,,74.0,241.0,4.62,24.0,30.5,109.0,7.34,4.39,21.0,10.0,2007
20.0,90.0,92.0,182.0,36.5,,,75.0,272.0,4.75,24.0,34.0,124.0,7.02,4.21,23.0,40.0,2008
13.0,71.0,83.0,154.0,25.0,,,73.0,297.0,5.12,24.0,33.0,116.0,7.23,4.39,23.0,26.0,2008
22.5,47.0,40.0,87.0,30.5,,,75.0,266.0,4.65,37.0,35.5,125.0,7.12,4.4,22.0,6.0,2008
17.5,75.0,67.0,142.0,28.0,,,72.0,309.0,5.26,34.0,26.5,105.0,7.78,4.73,23.0,26.0,2008
20.5,60.0,30.0,90.0,31.5,,,77.0,271.0,4.84,31.0,28.5,113.0,7.27,4.36,21.0,14.0,2008
3.0,127.0,88.0,215.0,15.5,,,74.0,241.0,4.54,24.0,33.0,116.0,7.23,4.39,22.0,15.0,2008
6.5,143.0,93.0,236.0,21.0,,,73.0,242.0,4.54,24.0,32.0,114.0,7.31,4.29,22.0,51.0,2008
24.5,89.0,59.0,148.0,40.5,,,76.0,271.0,4.82,31.0,31.0,108.0,7.08,4.4,23.0,11.0,2008
7.0,53.0,39.0,92.0,17.0,,,76.0,308.0,5.29,33.0,29.0,103.0,7.65,4.82,21.0,2.0,2008
11.5,64.0,47.0,111.0,26.0,,,76.0,276.0,4.73,17.0,33.0,116.0,7.23,4.39,23.0,6.0,2008
1.0,117.0,80.0,197.0,16.0,,,72.0,246.0,4.79,23.0,24.5,105.0,7.69,4.56,22.0,29.0,2008
8.5,178.0,105.0,283.0,21.5,,,72.0,229.0,4.71,24.0,30.5,118.0,7.01,4.35,22.0,2.0,2008
9.0,82.0,125.0,207.0,20.5,,,73.0,304.0,5.09,35.0,30.5,103.0,7.37,4.49,23.0,7.0,2008
19.5,83.0,46.0,129.0,39.0,,,80.0,290.0,5.04,16.0,29.5,111.0,7.45,4.69,22.0,59.0,2008
19.0,60.0,36.0,96.0,28.0,,,75.0,259.0,4.53,30.0,29.5,120.0,7.31,4.42,24.0,4.0,2008
14.0,100.0,74.0,174.0,50.0,,,77.0,273.0,4.76,18.0,25.5,123.0,7.29,4.32,22.0,14.0,2008
0.0,84.0,54.0,138.0,5.5,,,73.0,234.0,4.62,22.0,35.0,118.0,7.23,4.39,23.0,7.0,2008
19.0,58.0,74.0,132.0,28.0,,,76.0,263.0,4.71,24.0,27.0,109.0,7.64,4.65,23.0,2.0,2008
13.0,177.0,157.0,334.0,29.5,,,74.0,231.0,4.67,24.0,33.0,116.0,7.23,4.39,22.0,10.0,2008
7.5,38.0,15.0,53.0,16.5,,,74.0,310.0,5.06,20.0,27.0,116.0,7.23,4.39,22.0,19.0,2008
16.5,98.0,43.0,141.0,43.5,,,77.0,245.0,4.61,29.0,28.0,111.0,7.29,4.55,23.0,0.0,2008
5.5,34.0,41.0,75.0,17.5,,,74.0,296.0,5.0,28.0,33.0,116.0,7.23,4.39,23.0,8.0,2008
