Int,PD,Solo,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
3.0,14.5,60.0,69.0,193.0,4.43,7.0,36.5,124.0,6.99,4.27,22.0,3.0,2006
4.0,14.5,60.0,71.0,183.0,4.41,16.0,36.5,121.0,6.94,4.16,21.0,1.0,2006
12.0,14.5,60.0,72.0,213.0,4.35,16.0,37.5,123.0,6.94,4.16,22.0,26.0,2007
8.0,14.5,60.0,71.0,204.0,4.38,16.0,36.0,122.0,6.94,4.16,22.0,76.0,2007
12.0,14.5,60.0,71.0,193.0,4.39,15.0,37.5,125.0,6.5,4.07,22.0,49.0,2007
8.0,14.5,60.0,72.0,202.0,4.45,16.0,36.0,120.0,6.6,4.1,22.0,53.0,2007
10.0,14.5,60.0,72.0,193.0,4.44,17.0,34.0,118.0,6.67,4.15,24.0,17.0,2007
7.0,14.5,60.0,71.0,198.0,4.48,16.0,34.5,122.0,6.94,4.16,23.0,12.0,2007
7.0,14.5,60.0,71.0,195.0,4.47,11.0,35.0,111.0,7.06,4.33,23.0,22.0,2007
18.0,14.5,60.0,71.0,203.0,4.48,11.0,33.5,113.0,6.78,4.12,22.0,64.0,2007
3.0,8.0,60.0,70.0,185.0,4.32,27.0,36.0,122.0,6.94,4.12,22.0,13.0,2007
3.0,14.5,60.0,71.0,192.0,4.36,16.0,36.5,123.0,6.93,4.23,22.0,22.0,2007
2.0,14.5,60.0,69.0,189.0,4.39,20.0,36.5,120.0,7.07,4.43,22.0,13.0,2007
9.0,14.5,60.0,72.0,210.0,4.51,15.0,41.0,124.0,7.24,4.21,23.0,6.0,2007
15.0,14.5,60.0,75.0,224.0,4.47,19.0,34.5,122.0,6.84,3.9,24.0,11.0,2007
4.0,14.5,60.0,73.0,203.0,4.39,17.0,36.0,129.0,6.61,4.17,24.0,4.0,2007
6.0,14.5,60.0,70.0,195.0,4.36,16.0,40.5,126.0,7.07,4.4,23.0,4.0,2007
6.0,14.5,59.0,76.0,223.0,4.58,16.0,35.0,122.0,6.94,4.16,23.0,5.0,2007
6.0,14.5,60.0,70.0,190.0,4.56,16.0,28.5,114.0,7.28,4.43,22.0,2.0,2007
5.0,14.5,60.0,72.0,200.0,4.52,12.0,32.5,121.0,6.89,4.28,22.0,24.0,2007
7.0,14.5,60.0,73.0,199.0,4.54,17.0,33.5,122.0,6.94,4.16,23.0,6.0,2007
9.0,14.5,60.0,73.0,196.0,4.46,17.0,38.5,125.0,6.67,4.3,23.0,7.0,2007
4.0,14.5,60.0,74.0,205.0,4.6,12.0,34.5,115.0,7.37,4.46,22.0,30.0,2007
7.0,14.5,60.0,71.0,181.0,4.58,17.0,33.0,118.0,7.44,4.76,22.0,13.0,2007
5.0,14.5,60.0,74.0,227.0,4.58,23.0,36.0,122.0,6.94,4.16,22.0,2.0,2007
3.0,14.5,60.0,71.0,190.0,4.45,17.0,33.5,111.0,7.0,4.37,22.0,18.0,2007
6.0,14.5,60.0,72.0,220.0,4.6,20.0,35.0,106.0,7.0,4.3,23.0,10.0,2007
6.0,14.5,60.0,72.0,195.0,4.42,10.0,36.0,122.0,6.94,4.16,22.0,10.0,2007
6.0,14.5,60.0,73.0,190.0,4.53,17.0,35.0,122.0,6.78,4.31,23.0,1.0,2007
7.0,14.5,60.0,73.0,222.0,4.48,22.0,38.5,129.0,6.96,4.16,24.0,3.0,2007
2.0,11.0,60.0,70.0,190.0,4.44,11.0,29.5,111.0,7.18,4.3,24.0,1.0,2007
6.0,14.5,60.0,75.0,218.0,4.58,13.0,39.0,132.0,7.13,4.44,22.0,1.0,2007
4.0,9.0,60.0,69.0,185.0,4.57,14.0,34.5,122.0,6.96,4.32,21.0,6.0,2007
5.0,14.5,60.0,75.0,205.0,4.62,15.0,33.0,114.0,7.04,4.32,23.0,14.0,2007
9.0,14.5,60.0,73.0,195.0,4.62,16.0,37.5,127.0,6.81,4.2,22.0,1.0,2007
6.0,14.5,60.0,71.0,220.0,4.52,23.0,36.5,118.0,7.1,4.34,22.0,3.0,2007
4.0,14.5,60.0,74.0,206.0,4.49,15.0,37.5,122.0,6.94,4.16,22.0,15.0,2007
4.0,14.5,60.0,70.0,190.0,4.38,17.0,33.5,121.0,7.06,4.1,23.0,25.0,2008
6.0,14.5,60.0,73.0,184.0,4.29,17.0,38.5,131.0,6.74,4.17,22.0,18.0,2008
13.0,14.5,60.0,73.0,202.0,4.44,10.0,38.0,131.0,6.82,4.22,22.0,14.0,2008
6.0,14.5,60.0,70.0,197.0,4.38,18.0,34.0,117.0,7.21,4.4,23.0,21.0,2008
15.0,14.5,60.0,72.0,191.0,4.45,20.0,35.5,128.0,6.94,4.08,22.0,20.0,2008
7.0,14.5,60.0,74.0,212.0,4.48,19.0,32.5,121.0,6.97,4.27,21.0,15.0,2008
10.0,14.5,60.0,70.0,189.0,4.55,14.0,30.0,117.0,6.94,4.16,22.0,34.0,2008
16.0,14.5,60.0,71.0,188.0,4.37,18.0,34.0,123.0,7.2,4.07,22.0,16.0,2008
12.0,14.5,60.0,72.0,207.0,4.41,27.0,32.0,127.0,6.94,4.16,23.0,10.0,2008
5.0,3.0,60.0,72.0,200.0,4.41,15.0,31.0,120.0,7.07,4.3,24.0,2.0,2008
14.0,14.5,60.0,70.0,187.0,4.37,17.0,36.5,128.0,6.74,4.17,23.0,1.0,2008
8.0,1.0,60.0,72.0,202.0,4.45,14.0,30.5,123.0,7.18,4.16,23.0,18.0,2008
7.0,14.5,60.0,72.0,207.0,4.43,14.0,32.5,121.0,7.28,4.4,22.0,27.0,2008
8.0,14.5,60.0,72.0,192.0,4.52,13.0,36.0,125.0,6.96,4.15,22.0,4.0,2008
8.0,14.5,60.0,72.0,199.0,4.61,13.0,36.0,122.0,6.94,4.16,21.0,5.0,2008
6.0,14.5,60.0,73.0,198.0,4.39,23.0,37.5,129.0,6.85,4.14,23.0,2.0,2008
6.0,14.5,60.0,72.0,205.0,4.5,21.0,33.0,119.0,7.12,4.41,22.0,3.0,2008
8.0,14.5,60.0,71.0,211.0,4.44,24.0,36.0,122.0,6.94,4.16,23.0,7.0,2008
1.0,3.0,60.0,73.0,207.0,4.5,16.0,35.5,122.0,6.85,4.27,23.0,34.0,2008
3.0,14.5,60.0,71.0,204.0,4.31,19.0,34.0,120.0,6.94,4.4,21.0,22.0,2008
3.0,14.5,60.0,71.0,192.0,4.31,14.0,34.0,127.0,7.14,4.31,21.0,9.0,2008
13.0,14.5,60.0,71.0,201.0,4.54,16.0,33.5,116.0,7.31,4.38,22.0,9.0,2008
17.0,14.5,60.0,72.0,206.0,4.39,16.0,31.5,110.0,6.94,4.16,23.0,2.0,2008
13.0,14.5,60.0,70.0,206.0,4.72,15.0,31.5,108.0,7.15,4.65,23.0,2.0,2008
10.0,14.5,60.0,73.0,213.0,4.63,16.0,36.0,122.0,6.94,4.16,22.0,6.0,2008
4.0,14.5,60.0,69.0,190.0,4.42,21.0,32.5,119.0,7.41,4.28,24.0,3.0,2008
3.0,5.0,60.0,69.0,185.0,4.38,20.0,33.5,119.0,6.94,4.16,24.0,8.0,2008
6.0,14.5,60.0,70.0,194.0,4.44,16.0,36.0,122.0,6.94,4.16,22.0,0.0,2008
3.0,14.5,60.0,72.0,197.0,4.39,18.0,30.5,122.0,7.1,4.21,23.0,12.0,2008
4.0,14.5,60.0,70.0,192.0,4.32,16.0,33.5,125.0,6.83,4.16,21.0,25.0,2008
4.0,8.0,60.0,72.0,210.0,4.68,23.0,34.0,117.0,7.08,4.34,22.0,5.0,2008
6.0,2.0,60.0,74.0,229.0,4.57,24.0,36.0,122.0,6.94,4.16,23.0,0.0,2008
6.0,14.5,60.0,74.0,223.0,4.34,17.0,31.5,121.0,7.07,4.27,23.0,2.0,2008
4.0,5.0,60.0,72.0,212.0,4.54,14.0,28.5,109.0,7.34,4.35,23.0,8.0,2008
11.0,14.5,60.0,72.0,204.0,4.51,15.0,33.0,124.0,6.59,4.08,21.0,32.0,2009
7.0,14.5,60.0,71.0,203.0,4.4,25.0,36.0,125.0,6.75,4.07,21.0,12.0,2009
12.0,14.5,60.0,71.0,202.0,4.52,12.0,37.0,126.0,6.67,4.17,22.0,22.0,2009
9.0,14.5,60.0,71.0,212.0,4.49,25.0,34.0,119.0,6.94,4.16,22.0,35.0,2009
21.0,14.5,60.0,69.0,193.0,4.47,13.0,34.0,125.0,7.09,4.38,23.0,1.0,2009
10.0,14.5,60.0,70.0,183.0,4.41,16.0,43.0,134.0,6.92,4.18,23.0,5.0,2009
17.0,14.5,60.0,70.0,207.0,4.68,16.0,36.0,122.0,6.94,4.16,22.0,31.0,2009
12.0,14.5,60.0,72.0,198.0,4.53,14.0,38.0,119.0,6.8,4.16,23.0,2.0,2009
11.0,14.5,60.0,72.0,221.0,4.49,16.0,37.0,123.0,6.81,4.26,24.0,30.0,2009
9.0,14.5,60.0,73.0,198.0,4.43,12.0,36.0,123.0,6.6,3.98,24.0,13.0,2009
9.0,14.5,60.0,75.0,214.0,4.47,10.0,34.0,119.0,6.92,4.15,22.0,20.0,2009
5.0,4.0,60.0,72.0,196.0,4.44,20.0,38.5,122.0,7.04,4.29,23.0,13.0,2009
6.0,1.0,60.0,72.0,187.0,4.45,16.0,38.5,128.0,6.72,3.96,22.0,3.0,2009
3.0,14.5,60.0,69.0,194.0,4.48,22.0,35.0,115.0,6.93,4.3,21.0,8.0,2009
6.0,14.5,60.0,70.0,179.0,4.35,15.0,36.5,121.0,6.77,4.1,23.0,36.0,2009
13.0,14.5,60.0,70.0,181.0,4.44,14.0,34.5,110.0,6.93,4.16,22.0,7.0,2009
6.0,14.5,60.0,69.0,188.0,4.43,15.0,36.5,122.0,7.09,4.08,22.0,13.0,2009
3.0,14.5,60.0,69.0,187.0,4.47,18.0,39.5,129.0,6.94,4.16,22.0,4.0,2009
11.0,14.5,60.0,71.0,203.0,4.49,15.0,37.0,120.0,7.09,4.23,23.0,23.0,2009
7.0,19.0,60.0,73.0,208.0,4.47,19.0,33.5,123.0,6.94,4.16,23.0,11.0,2009
2.0,1.0,60.0,72.0,197.0,4.5,9.0,45.0,135.0,6.84,4.2,23.0,4.0,2009
7.0,14.5,60.0,71.0,204.0,4.5,22.0,38.0,119.0,7.39,4.43,23.0,17.0,2009
7.0,1.0,60.0,74.0,219.0,4.4,19.0,41.5,132.0,6.6,4.28,22.0,9.0,2009
13.0,14.5,60.0,69.0,192.0,4.56,17.0,39.5,118.0,7.01,4.28,22.0,6.0,2009
15.0,2.0,60.0,71.0,198.0,4.46,16.0,33.5,118.0,6.68,3.98,23.0,3.0,2009
5.0,14.5,60.0,72.0,208.0,4.33,19.0,37.5,127.0,7.27,4.38,23.0,19.0,2009
14.0,14.5,60.0,74.0,214.0,4.57,17.0,37.5,117.0,7.14,4.42,23.0,0.0,2009
16.0,14.5,60.0,69.0,192.0,4.58,22.0,35.5,118.0,6.68,4.25,22.0,1.0,2009
7.0,14.5,60.0,73.0,193.0,4.5,23.0,38.0,127.0,7.05,4.01,23.0,2.0,2009
5.0,1.0,60.0,71.0,187.0,4.66,18.0,36.0,122.0,6.94,4.16,22.0,1.0,2009
4.0,14.5,60.0,73.0,198.0,4.48,16.0,36.5,125.0,7.0,4.2,23.0,2.0,2009
4.0,6.0,60.0,72.0,185.0,4.63,24.0,36.0,123.0,6.81,4.24,22.0,0.0,2009
5.0,14.5,60.0,68.0,182.0,4.41,19.0,37.5,121.0,7.15,4.2,21.0,24.0,2009
5.0,2.0,60.0,74.0,209.0,4.49,13.0,37.5,129.0,7.25,4.23,24.0,0.0,2009
10.0,14.5,60.0,72.0,206.0,4.58,12.0,31.5,117.0,7.06,4.3,23.0,5.0,2009
0.0,3.0,60.0,70.0,214.0,4.43,29.0,33.5,116.0,7.02,4.2,24.0,14.0,2009
14.0,14.5,60.0,72.0,211.0,4.4,19.0,43.0,130.0,6.8,4.23,21.0,50.0,2010
8.0,14.5,60.0,71.0,193.0,4.52,18.0,35.0,125.0,6.94,4.34,21.0,39.0,2010
10.0,14.5,60.0,70.0,208.0,4.43,21.0,36.0,113.0,6.94,4.16,21.0,76.0,2010
5.0,14.5,60.0,70.0,196.0,4.4,13.0,37.5,118.0,6.92,4.14,22.0,30.0,2010
6.0,14.5,60.0,71.0,193.0,4.38,16.0,36.0,126.0,6.7,4.07,23.0,71.0,2010
11.0,14.5,60.0,70.0,194.0,4.43,25.0,36.0,122.0,6.94,4.16,23.0,14.0,2010
7.0,14.5,60.0,71.0,190.0,4.46,15.0,39.0,122.0,6.78,4.16,23.0,15.0,2010
6.0,14.5,60.0,74.0,212.0,4.45,7.0,38.0,132.0,6.88,4.23,23.0,10.0,2010
9.0,14.5,60.0,72.0,207.0,4.5,16.0,36.0,122.0,6.94,4.16,22.0,25.0,2010
2.0,1.0,60.0,70.0,211.0,4.56,19.0,34.0,121.0,6.94,4.16,23.0,24.0,2010
5.0,9.0,60.0,75.0,230.0,4.31,24.0,41.0,125.0,6.94,4.16,22.0,3.0,2010
6.0,14.5,60.0,69.0,197.0,4.6,16.0,36.0,112.0,6.94,4.16,22.0,8.0,2010
8.0,14.5,60.0,72.0,196.0,4.5,16.0,38.0,127.0,6.87,4.05,23.0,2.0,2010
6.0,14.5,60.0,71.0,195.0,4.52,16.0,35.0,116.0,6.94,4.16,22.0,11.0,2010
10.0,14.5,60.0,74.0,203.0,4.42,10.0,37.0,126.0,6.94,4.16,22.0,1.0,2010
14.0,14.5,60.0,73.0,209.0,4.51,16.0,36.0,122.0,6.94,4.16,21.0,30.0,2010
8.0,14.5,60.0,71.0,206.0,4.44,14.0,37.5,119.0,6.95,4.36,22.0,17.0,2010
3.0,14.0,60.0,72.0,192.0,4.41,19.0,34.5,126.0,6.82,4.18,23.0,2.0,2010
1.0,18.0,60.0,72.0,192.0,4.37,15.0,37.0,127.0,6.75,4.07,23.0,1.0,2010
13.0,14.5,60.0,70.0,189.0,4.52,11.0,32.0,116.0,6.7,4.12,21.0,26.0,2010
10.0,14.5,60.0,71.0,183.0,4.51,9.0,38.5,116.0,6.81,4.27,24.0,1.0,2010
8.0,3.0,60.0,71.0,205.0,4.46,17.0,39.5,120.0,6.94,4.16,23.0,8.0,2010
12.0,14.5,60.0,71.0,189.0,4.53,16.0,36.0,122.0,6.94,4.16,23.0,5.0,2010
6.0,14.5,60.0,72.0,207.0,4.32,16.0,35.5,120.0,6.84,4.32,22.0,0.0,2010
6.0,14.5,60.0,75.0,231.0,4.62,22.0,32.0,116.0,7.36,4.41,22.0,49.0,2010
6.0,14.5,60.0,71.0,194.0,4.46,10.0,33.5,117.0,7.32,4.33,22.0,5.0,2010
6.0,14.5,60.0,72.0,198.0,4.73,16.0,31.5,116.0,6.88,4.33,22.0,18.0,2010
10.0,14.5,60.0,71.0,195.0,4.58,12.0,32.5,113.0,6.94,4.16,23.0,3.0,2010
6.0,14.5,60.0,71.0,188.0,4.5,2.0,36.5,122.0,6.74,4.07,22.0,0.0,2010
9.0,14.5,60.0,71.0,195.0,4.48,16.0,36.0,122.0,6.94,4.16,22.0,2.0,2010
0.0,9.0,60.0,71.0,204.0,4.42,16.0,36.0,122.0,6.94,4.16,23.0,11.0,2010
11.0,14.5,60.0,73.0,214.0,4.51,24.0,39.5,118.0,7.43,4.54,22.0,44.0,2010
11.0,14.5,60.0,72.0,191.0,4.43,17.0,39.5,121.0,7.08,4.23,23.0,0.0,2010
6.0,14.5,111.0,71.0,203.0,4.55,11.0,35.5,117.0,6.58,4.16,23.0,5.0,2010
7.0,14.5,60.0,69.0,186.0,4.75,16.0,33.0,117.0,6.73,4.26,23.0,1.0,2010
9.0,4.0,60.0,70.0,192.0,4.55,19.0,36.0,122.0,6.94,4.16,22.0,12.0,2010
7.0,14.5,60.0,72.0,219.0,4.31,15.0,38.0,126.0,6.58,4.07,21.0,95.0,2011
5.0,15.0,60.0,72.0,206.0,4.38,15.0,38.0,128.0,6.97,4.08,22.0,15.0,2011
3.0,9.0,60.0,74.0,211.0,4.42,24.0,36.0,123.0,6.93,4.06,23.0,33.0,2011
8.0,1.0,60.0,73.0,198.0,4.4,19.0,36.0,122.0,6.94,4.16,23.0,1.0,2011
4.0,14.5,60.0,72.0,204.0,4.55,18.0,37.5,127.0,6.72,4.07,21.0,17.0,2011
14.0,14.5,60.0,72.0,202.0,4.58,11.0,35.0,115.0,6.98,3.96,21.0,18.0,2011
1.0,14.5,60.0,70.0,195.0,4.45,26.0,38.5,119.0,6.81,4.12,22.0,15.0,2011
9.0,14.5,60.0,72.0,198.0,4.62,14.0,30.0,113.0,6.95,4.14,21.0,1.0,2011
4.0,14.5,60.0,69.0,191.0,4.46,13.0,35.5,113.0,6.77,4.12,21.0,2.0,2011
3.0,14.5,60.0,72.0,199.0,4.36,16.0,38.5,123.0,6.88,4.08,23.0,10.0,2011
3.0,1.0,60.0,73.0,176.0,4.28,5.0,33.5,121.0,6.97,4.09,22.0,2.0,2011
6.0,14.5,60.0,71.0,191.0,4.59,13.0,32.0,110.0,6.94,4.16,23.0,2.0,2011
1.0,10.0,60.0,71.0,185.0,4.41,16.0,34.5,113.0,6.94,4.16,24.0,10.0,2011
3.0,14.5,60.0,72.0,197.0,4.42,12.0,37.5,123.0,6.87,4.07,23.0,1.0,2011
2.0,14.5,60.0,74.0,197.0,4.52,18.0,35.5,127.0,7.01,4.19,22.0,17.0,2011
2.0,6.0,60.0,72.0,185.0,4.51,10.0,39.5,128.0,6.59,4.0,22.0,2.0,2011
6.0,14.5,60.0,70.0,192.0,4.43,19.0,36.0,122.0,6.94,4.16,23.0,0.0,2011
5.0,14.5,60.0,71.0,223.0,4.55,27.0,33.0,120.0,6.87,4.09,22.0,12.0,2011
8.0,2.0,60.0,73.0,208.0,4.57,23.0,34.5,121.0,7.05,4.06,23.0,5.0,2011
6.0,14.5,60.0,72.0,191.0,4.38,16.0,34.5,126.0,6.94,4.16,22.0,2.0,2011
6.0,14.5,60.0,73.0,204.0,4.52,24.0,35.5,116.0,6.85,4.25,23.0,2.0,2011
10.0,3.0,60.0,70.0,192.0,4.41,13.0,31.0,116.0,6.69,4.06,22.0,0.0,2011
6.0,14.5,60.0,73.0,197.0,4.5,18.0,35.5,129.0,6.76,4.01,22.0,10.0,2011
11.0,14.5,60.0,72.0,200.0,4.44,14.0,33.5,109.0,6.65,4.12,22.0,9.0,2011
6.0,14.5,60.0,76.0,217.0,4.53,12.0,35.0,124.0,7.03,4.06,21.0,0.0,2011
6.0,14.5,60.0,69.0,186.0,4.37,20.0,37.0,122.0,6.44,3.9,22.0,15.0,2011
3.0,14.5,60.0,72.0,190.0,4.5,18.0,32.0,118.0,6.93,4.07,22.0,1.0,2011
11.0,14.5,60.0,71.0,219.0,4.74,24.0,32.5,110.0,6.55,3.9,23.0,6.0,2011
7.0,14.5,60.0,71.0,208.0,4.5,13.0,31.0,110.0,6.94,4.16,21.0,4.0,2011
13.0,14.5,60.0,69.0,184.0,4.7,18.0,35.5,119.0,6.85,4.2,21.0,3.0,2011
6.0,14.5,60.0,75.0,195.0,4.54,16.0,38.0,125.0,6.82,4.33,23.0,82.0,2011
2.0,6.0,60.0,71.0,190.0,4.49,16.0,36.5,120.0,6.5,4.0,24.0,3.0,2011
4.0,6.0,60.0,72.0,202.0,4.43,24.0,33.0,124.0,6.94,4.16,23.0,13.0,2011
6.0,14.5,60.0,72.0,195.0,4.54,10.0,36.0,122.0,6.94,4.16,22.0,2.0,2011
13.0,14.5,60.0,72.0,211.0,4.62,11.0,33.0,108.0,6.9,4.27,23.0,1.0,2011
6.0,14.5,60.0,70.0,180.0,4.45,14.0,33.0,114.0,7.21,4.2,23.0,4.0,2011
13.0,14.5,60.0,69.0,189.0,4.5,13.0,33.5,114.0,6.66,4.12,21.0,1.0,2011
6.0,7.0,60.0,73.0,209.0,4.62,18.0,34.5,121.0,6.73,4.19,21.0,3.0,2011
11.0,9.0,60.0,71.0,188.0,4.5,16.0,34.5,118.0,7.01,4.12,22.0,13.0,2012
12.0,11.0,60.0,73.0,213.0,4.54,16.0,36.0,122.0,6.94,4.16,22.0,11.0,2012
8.0,14.5,60.0,72.0,190.0,4.38,15.0,36.0,123.0,6.61,3.94,21.0,18.0,2012
3.0,16.0,60.0,74.0,186.0,4.5,16.0,35.0,120.0,6.94,4.16,22.0,25.0,2012
7.0,20.0,60.0,74.0,213.0,4.54,19.0,34.0,122.0,6.63,4.12,23.0,72.0,2012
8.0,14.5,60.0,70.0,193.0,4.41,16.0,33.5,121.0,6.95,4.13,23.0,22.0,2012
15.0,3.0,60.0,71.0,192.0,4.47,19.0,34.0,119.0,6.76,3.9,22.0,7.0,2012
6.0,14.5,60.0,74.0,204.0,4.5,19.0,35.5,122.0,7.2,4.15,22.0,24.0,2012
10.0,14.5,60.0,70.0,199.0,4.29,17.0,38.5,133.0,6.55,3.97,21.0,9.0,2012
4.0,11.0,60.0,71.0,209.0,4.52,16.0,33.5,118.0,7.32,4.37,22.0,1.0,2012
7.0,14.5,60.0,71.0,206.0,4.43,23.0,34.0,125.0,6.71,3.97,23.0,2.0,2012
6.0,14.5,60.0,70.0,182.0,4.42,13.0,31.5,114.0,6.99,4.5,23.0,3.0,2012
12.0,14.5,60.0,70.0,178.0,4.38,11.0,36.0,122.0,6.94,4.16,21.0,8.0,2012
7.0,7.0,60.0,70.0,202.0,4.51,24.0,36.0,122.0,6.94,4.16,23.0,5.0,2012
4.0,14.0,60.0,71.0,189.0,4.33,15.0,37.0,122.0,6.6,4.06,23.0,12.0,2012
9.0,14.5,60.0,69.0,182.0,4.44,16.0,36.0,122.0,6.94,4.16,22.0,7.0,2012
3.0,9.0,60.0,70.0,190.0,4.37,12.0,38.0,120.0,6.94,4.16,23.0,4.0,2012
6.0,14.5,60.0,72.0,211.0,4.42,18.0,31.5,122.0,7.33,4.13,22.0,0.0,2012
6.0,14.5,60.0,71.0,203.0,4.47,17.0,36.5,120.0,6.69,4.22,23.0,2.0,2012
8.0,10.0,60.0,73.0,208.0,4.66,12.0,34.0,116.0,6.71,3.97,23.0,9.0,2012
6.0,14.5,60.0,72.0,197.0,4.61,14.0,33.0,124.0,7.09,4.23,24.0,22.0,2012
6.0,14.5,60.0,71.0,206.0,4.53,15.0,37.5,126.0,6.72,4.22,22.0,10.0,2012
7.0,1.0,60.0,76.0,225.0,4.6,20.0,34.5,124.0,7.03,4.03,22.0,27.0,2012
6.0,14.5,60.0,70.0,191.0,4.48,19.0,34.5,118.0,6.97,4.03,22.0,2.0,2012
5.0,14.5,60.0,70.0,188.0,4.52,16.0,36.0,117.0,6.81,4.07,23.0,5.0,2012
6.0,14.5,60.0,72.0,200.0,4.52,19.0,39.5,131.0,6.79,4.3,22.0,16.0,2012
5.0,3.0,60.0,73.0,218.0,4.62,16.0,36.0,122.0,6.94,4.16,22.0,0.0,2012
4.0,5.0,60.0,71.0,202.0,4.56,19.0,37.0,127.0,6.93,4.22,22.0,1.0,2012
4.0,13.0,60.0,70.0,204.0,4.48,16.0,37.0,121.0,6.94,4.16,22.0,9.0,2012
4.0,14.5,60.0,73.0,210.0,4.58,17.0,34.0,118.0,7.02,4.25,23.0,9.0,2012
12.0,14.5,60.0,70.0,192.0,4.52,18.0,34.5,116.0,6.87,4.0,23.0,1.0,2012
6.0,17.0,60.0,72.0,201.0,4.37,16.0,36.0,122.0,6.95,4.32,21.0,6.0,2013
6.0,11.0,60.0,71.0,191.0,4.4,16.0,36.0,122.0,6.94,4.16,23.0,8.0,2013
5.0,14.5,60.0,72.0,214.0,4.63,15.0,38.0,121.0,6.78,4.06,22.0,20.0,2013
6.0,4.0,60.0,73.0,213.0,4.53,17.0,40.5,134.0,6.99,4.22,21.0,26.0,2013
6.0,14.5,60.0,72.0,190.0,4.38,16.0,37.5,125.0,6.94,3.85,22.0,35.0,2013
8.0,14.5,60.0,73.0,210.0,4.43,14.0,40.5,132.0,6.94,4.16,23.0,43.0,2013
6.0,14.5,60.0,70.0,208.0,4.43,17.0,35.5,118.0,6.94,4.16,22.0,12.0,2013
7.0,14.5,60.0,72.0,217.0,4.64,16.0,38.5,122.0,6.94,4.16,23.0,21.0,2013
6.0,14.5,60.0,72.0,192.0,4.36,14.0,35.5,124.0,6.9,4.21,22.0,39.0,2013
16.0,14.5,60.0,74.0,185.0,4.61,10.0,34.0,125.0,6.97,4.27,23.0,11.0,2013
18.0,14.5,60.0,73.0,205.0,4.44,15.0,35.5,127.0,6.94,4.16,21.0,7.0,2013
7.0,2.0,60.0,71.0,192.0,4.39,22.0,35.0,127.0,6.82,4.06,22.0,4.0,2013
6.0,1.0,60.0,70.0,208.0,4.67,17.0,37.0,124.0,6.7,4.11,22.0,8.0,2013
6.0,14.5,60.0,70.0,188.0,4.39,17.0,40.0,132.0,6.89,4.23,24.0,24.0,2013
8.0,16.0,60.0,71.0,201.0,4.47,22.0,38.0,125.0,6.7,4.15,23.0,10.0,2013
8.0,23.0,60.0,70.0,193.0,4.54,10.0,34.5,119.0,6.81,4.27,22.0,1.0,2013
4.0,16.0,60.0,69.0,186.0,4.5,4.0,34.0,117.0,6.87,4.14,21.0,21.0,2013
8.0,10.0,60.0,73.0,195.0,4.53,14.0,36.0,128.0,6.97,4.12,23.0,6.0,2013
8.0,14.5,60.0,74.0,219.0,4.59,19.0,40.0,131.0,6.89,4.2,22.0,17.0,2013
6.0,14.5,60.0,72.0,213.0,4.57,17.0,35.0,124.0,7.02,4.09,22.0,15.0,2013
7.0,1.0,60.0,71.0,191.0,4.56,14.0,32.5,116.0,6.69,4.06,22.0,14.0,2013
4.0,1.0,60.0,72.0,213.0,4.46,25.0,36.0,120.0,7.01,4.25,22.0,24.0,2013
3.0,14.5,60.0,70.0,195.0,4.41,14.0,35.0,125.0,6.94,4.16,22.0,4.0,2013
5.0,6.0,60.0,71.0,186.0,4.51,16.0,35.5,127.0,6.52,4.02,23.0,0.0,2013
4.0,10.0,60.0,71.0,203.0,4.48,13.0,37.5,126.0,6.94,4.0,22.0,8.0,2013
2.0,5.0,60.0,69.0,213.0,4.42,28.0,40.5,133.0,6.94,4.26,22.0,4.0,2013
6.0,14.5,60.0,70.0,184.0,4.51,14.0,40.5,132.0,6.82,3.84,23.0,1.0,2013
13.0,14.5,60.0,71.0,198.0,4.68,14.0,33.0,122.0,6.94,4.16,24.0,2.0,2013
8.0,14.5,60.0,72.0,216.0,4.41,16.0,34.5,117.0,7.1,4.3,23.0,0.0,2013
6.0,2.0,60.0,71.0,209.0,4.44,16.0,39.0,134.0,6.94,4.07,23.0,4.0,2013
7.0,13.0,60.0,74.0,202.0,4.51,9.0,34.0,128.0,6.94,4.16,22.0,3.0,2013
6.0,14.0,60.0,69.0,181.0,4.42,12.0,40.5,128.0,6.89,4.1,22.0,4.0,2013
3.0,4.0,60.0,71.0,193.0,4.4,14.0,33.5,119.0,6.71,4.18,22.0,1.0,2013
8.0,15.0,60.0,72.0,197.0,4.56,12.0,33.0,121.0,6.78,4.2,22.0,13.0,2013
5.0,14.5,60.0,73.0,207.0,4.58,16.0,34.5,123.0,6.64,4.1,22.0,13.0,2013
16.0,14.5,60.0,72.0,211.0,4.56,17.0,36.0,122.0,6.94,4.16,23.0,1.0,2013
10.0,5.0,60.0,71.0,210.0,4.53,17.0,33.5,117.0,6.95,4.18,23.0,0.0,2013
6.0,14.5,60.0,73.0,187.0,4.54,4.0,36.0,126.0,7.17,4.32,22.0,8.0,2013
13.0,16.0,60.0,72.0,191.0,4.54,8.0,30.5,118.0,6.87,4.18,22.0,0.0,2013
2.0,6.0,60.0,74.0,213.0,4.75,11.0,35.5,126.0,6.75,4.16,23.0,1.0,2013
4.0,10.0,60.0,72.0,221.0,4.69,21.0,30.5,111.0,7.06,4.16,22.0,7.0,2013
