Player,Rate,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,qb_Cmp,qb_Att,qb_Inc,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_TD%,qb_Int%,qb_Y/A,qb_AY/A,qb_Y/C,qb_Y/G,Pos,Team,rb_rush_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y/A,rb_rush_TD,rb_rec_Rec,rb_rec_Y/R,rb_rec_TD,rb_rec_Y/G,rec_Y/G,rec_Rec,rec_Yds,rec_Y/R,rec_TD,Sk,Solo,Ast,Comb,TFL,Sk/G,Int,IntTD,PD,dr_av,PosGroup
Mason Cole,,CRD,3,97,2018,Michigan,2015,2015,13.0,,,,,,,,,,,,,,OL,Michigan,,,,,,,,,,,,,,,,,,,,,,,,11.0,OL
Brian Allen,,RAM,4,111,2018,Michigan State,2015,2015,14.0,,,,,,,,,,,,,,OL,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,16.0,OL
Will Richardson,,JAX,4,129,2018,North Carolina State,2015,2017,22.0,,,,,,,,,,,,,,T,North Carolina State,,,,,,,,,,,,,,,,,,,,,,,,4.0,OL
Tyrell Crosby,,DET,5,153,2018,Oregon,2015,2015,13.0,,,,,,,,,,,,,,OL,Oregon,,,,,,,,,,,,,,,,,,,,,,,,11.0,OL
Scott Quessenberry,,SDG,5,155,2018,UCLA,2016,2016,12.0,,,,,,,,,,,,,,OL,UCLA,,,,,,,,,,,,,,,,,,,,,,,,8.0,OL
Wyatt Teller,,BUF,5,166,2018,Virginia Tech,2015,2017,26.0,,,,,,,,,,,,,,OL,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,1.0,OL
Jamarco Jones,,SEA,5,168,2018,Ohio State,2014,2016,29.0,,,,,,,,,,,,,,OL,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,7.0,OL
Sam Jones,,DEN,6,183,2018,Arizona State,2015,2015,12.0,,,,,,,,,,,,,,OL,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,0.0,OL
Matt Pryor,,PHI,6,206,2018,Texas Christian,2015,2017,26.0,,,,,,,,,,,,,,T,Texas Christian,,,,,,,,,,,,,,,,,,,,,,,,5.0,OL
Bradley Bozeman,,RAV,6,215,2018,Alabama,2015,2015,15.0,,,,,,,,,,,,,,OL,Alabama,,,,,,,,,,,,,,,,,,,,,,,,23.0,OL
William Clapp,,NOR,7,245,2018,LSU,2015,2015,12.0,,,,,,,,,,,,,,C,LSU,,,,,,,,,,,,,,,,,,,,,,,,4.0,OL
Korey Cunningham,,CRD,7,254,2018,Cincinnati,2015,2015,9.0,,,,,,,,,,,,,,OL,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,2.0,OL
Chris Lindstrom,,ATL,1,14,2019,Boston College,2015,2018,37.0,,,,,,,,,,,,,,OL,Boston College,,,,,,,,,,,,,,,,,,,,,,,,49.0,OL
Garrett Bradbury,,MIN,1,18,2019,North Carolina State,2015,2018,37.0,,,,,,,,,,,,,,G,North Carolina State,,,,,,,,,,,,,,,,,,,,,,,,32.0,OL
Andre Dillard,,PHI,1,22,2019,Washington State,2015,2018,28.0,,,,,,,,,,,,,,OL,Washington State,,,,,,,,,,,,,,,,,,,,,,,,6.0,OL
Kaleb McGary,,ATL,1,31,2019,Washington,2015,2016,27.0,,,,,,,,,,,,,,OL,Washington,,,,,,,,,,,,,,,,,,,,,,,,39.0,OL
Jawaan Taylor,,JAX,2,35,2019,Florida,2016,2018,37.0,,,,,,,,,,,,,,OL,Florida,,,,,,,,,,,,,,,,,,,,,,,,25.0,OL
Dalton Risner,,DEN,2,41,2019,Kansas State,2015,2016,26.0,,,,,,,,,,,,,,OL,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,20.0,OL
Elgton Jenkins,,GNB,2,44,2019,Mississippi State,2015,2017,36.0,,,,,,,,,,,,,,OL,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,48.0,OL
Erik McCoy,,NOR,2,48,2019,Texas A&M,2015,2018,27.0,,,,,,,,,,,,,,OL,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,35.0,OL
Max Scharping,,HTX,2,55,2019,Northern Illinois,2015,2017,27.0,,,,,,,,,,,,,,OL,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,16.0,OL
Michael Deiter,,MIA,3,78,2019,Wisconsin,2015,2018,40.0,,,,,,,,,,,,,,OL,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,10.0,OL
Nate Davis,,OTI,3,82,2019,Charlotte,2015,2017,24.0,,,,,,,,,,,,,,OL,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,22.0,OL
Connor McGovern,,DAL,3,90,2019,Penn State,2018,2018,13.0,,,,,,,,,,,,,,OL,Penn State,,,,,,,,,,,,,,,,,,,,,,,,11.0,OL
Chuma Edoga,,NYJ,3,92,2019,USC,2015,2015,13.0,,,,,,,,,,,,,,T,USC,,,,,,,,,,,,,,,,,,,,,,,,5.0,OL
Bobby Evans,,RAM,3,97,2019,Oklahoma,2015,2018,15.0,,,,,,,,,,,,,,OL,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,7.0,OL
Yodny Cajuste,,NWE,3,101,2019,West Virginia,2015,2018,18.0,,,,,,,,,,,,,,OL,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,4.0,OL
Dru Samia,,MIN,4,114,2019,Oklahoma,2015,2015,12.0,,,,,,,,,,,,,,OL,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,2.0,OL
Hjalte Froholdt,,NWE,4,118,2019,Arkansas,2017,2017,12.0,,,,,,,,,,,,,,OL,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,0.0,OL
Ben Powers,,RAV,4,123,2019,Oklahoma,2016,2018,38.0,,,,,,,,,,,,,,OL,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,14.0,OL
Phil Haynes,,SEA,4,124,2019,Wake Forest,2015,2018,38.0,,,,,,,,,,,,,,OL,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,6.0,OL
Wes Martin,,WAS,4,131,2019,Indiana,2015,2017,25.0,,,,,,,,,,,,,,OL,Indiana,,,,,,,,,,,,,,,,,,,,,,,,4.0,OL
Ross Pierschbacher,,WAS,5,153,2019,Alabama,2015,2018,30.0,,,,,,,,,,,,,,OL,Alabama,,,,,,,,,,,,,,,,,,,,,,,,0.0,OL
David Edwards,,RAM,5,169,2019,Wisconsin,2016,2018,23.0,,,,,,,,,,,,,,OL,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,21.0,OL
Lamont Gaillard,,CRD,6,179,2019,Georgia,2015,2016,15.0,,,,,,,,,,,,,,G,Georgia,,,,,,,,,,,,,,,,,,,,,,,,2.0,OL
Justin Skule,,SFO,6,183,2019,Vanderbilt,2015,2015,7.0,,,,,,,,,,,,,,OL,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,7.0,OL
Isaiah Prince,,MIA,6,202,2019,Ohio State,2015,2018,36.0,,,,,,,,,,,,,,OL,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,1.0,OL
Nick Allegretti,,KAN,7,216,2019,Illinois,2015,2018,23.0,,,,,,,,,,,,,,OL,Illinois,,,,,,,,,,,,,,,,,,,,,,,,10.0,OL
Derwin Gray,,PIT,7,219,2019,Maryland,2015,2017,14.0,,,,,,,,,,,,,,OL,Maryland,,,,,,,,,,,,,,,,,,,,,,,,0.0,OL
Mekhi Becton,,NYJ,1,11,2020,Louisville,2018,2019,23.0,,,,,,,,,,,,,,OL,Louisville,,,,,,,,,,,,,,,,,,,,,,,,8.0,OL
Tristan Wirfs,,TAM,1,13,2020,Iowa,2018,2018,12.0,,,,,,,,,,,,,,OL,Iowa,,,,,,,,,,,,,,,,,,,,,,,,64.0,OL
Austin Jackson,,MIA,1,18,2020,USC,2017,2019,27.0,,,,,,,,,,,,,,T,USC,,,,,,,,,,,,,,,,,,,,,,,,24.0,OL
Cesar Ruiz,,NOR,1,24,2020,Michigan,2018,2018,13.0,,,,,,,,,,,,,,OL,Michigan,,,,,,,,,,,,,,,,,,,,,,,,29.0,OL
Robert Hunt,,MIA,2,39,2020,Louisiana,2016,2016,12.0,,,,,,,,,,,,,,OL,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,22.0,OL
Ezra Cleveland,,MIN,2,58,2020,Boise State,2018,2019,26.0,,,,,,,,,,,,,,OL,Boise State,,,,,,,,,,,,,,,,,,,,,,,,17.0,OL
Damien Lewis,,SEA,3,69,2020,LSU,2019,2019,15.0,,,,,,,,,,,,,,G,LSU,,,,,,,,,,,,,,,,,,,,,,,,26.0,OL
Jonah Jackson,,DET,3,75,2020,Ohio State,2018,2018,11.0,,,,,,,,,,,,,,OL,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,25.0,OL
Matt Hennessy,,ATL,3,78,2020,Temple,2017,2019,24.0,,,,,,,,,,,,,,OL,Temple,,,,,,,,,,,,,,,,,,,,,,,,10.0,OL
Lucas Niang,,KAN,3,96,2020,Texas Christian,2018,2019,20.0,,,,,,,,,,,,,,T,Texas Christian,,,,,,,,,,,,,,,,,,,,,,,,8.0,OL
Matt Peart,,NYG,3,99,2020,Connecticut,2018,2019,24.0,,,,,,,,,,,,,,OL,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,5.0,OL
Tyre Phillips,,RAV,3,106,2020,Mississippi State,2018,2018,13.0,,,,,,,,,,,,,,OL,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,6.0,OL
John Simpson,,RAI,4,109,2020,Clemson,2018,2019,29.0,,,,,,,,,,,,,,G,Clemson,,,,,,,,,,,,,,,,,,,,,,,,9.0,OL
Logan Stenberg,,DET,4,121,2020,Kentucky,2017,2018,25.0,,,,,,,,,,,,,,G,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,3.0,OL
Kevin Dotson,,PIT,4,135,2020,Louisiana,2016,2017,24.0,,,,,,,,,,,,,,OL,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,10.0,OL
Tyler Biadasz,,DAL,4,146,2020,Wisconsin,2018,2019,27.0,,,,,,,,,,,,,,OL,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,24.0,OL
Danny Pinter,,CLT,5,149,2020,Ball State,2019,2019,12.0,,,,,,,,,,,,,,OL,Ball State,,,,,,,,,,,,,,,,,,,,,,,,7.0,OL
Colton McKivitz,,SFO,5,153,2020,West Virginia,2016,2017,26.0,,,,,,,,,,,,,,OL,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,24.0,OL
Keith Ismael,,WAS,5,156,2020,San Diego State,2018,2019,25.0,,,,,,,,,,,,,,OL,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,2.0,OL
Michael Onwenu,,NWE,6,182,2020,Michigan,2018,2018,13.0,,,,,,,,,,,,,,OL,Michigan,,,,,,,,,,,,,,,,,,,,,,,,33.0,OL
Jon Runyan,,GNB,6,192,2020,Michigan,2019,2019,12.0,,,,,,,,,,,,,,OL,Michigan,,,,,,,,,,,,,,,,,,,,,,,,26.0,OL
Justin Herron,,NWE,6,195,2020,Wake Forest,2015,2015,12.0,,,,,,,,,,,,,,OL,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,6.0,OL
Blake Brandel,,MIN,6,203,2020,Oregon State,2016,2016,12.0,,,,,,,,,,,,,,OL,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,15.0,OL
Jake Hanson,,GNB,6,208,2020,Oregon,2019,2019,12.0,,,,,,,,,,,,,,OL,Oregon,,,,,,,,,,,,,,,,,,,,,,,,1.0,OL
Tremayne Anchrum,,RAM,7,250,2020,Clemson,2017,2017,14.0,,,,,,,,,,,,,,T,Clemson,,,,,,,,,,,,,,,,,,,,,,,,2.0,OL
