draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2020,73,3,DT,54.0,23.0,27.98108108108108,,,,,,,,,,,,,,,,,,,,,,,7.0,41.0,25.0,66.0,21.0,,
2020,87,3,LB,54.0,23.0,33.87179487179487,,,,,,,,,,,,,,,,,,,,,,,14.5,98.0,95.0,193.0,33.5,,
2011,127,4,DB,54.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0
2003,7,1,QB,54.0,23.0,,939.0,1442.0,65.1,11903.0,89.0,28.0,8.3,8.62,220.4,,,,,,,,,,,,,,,,,,,,
2022,254,7,CB,54.0,22.0,1.5512195121951218,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,14.0
2012,186,6,TE,54.0,23.0,26.36,,,,,,,,,,,,,,,,,,52.0,720.0,13.8,9.0,13.3,,,,,,,
2013,84,3,DB,54.0,22.0,25.73333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
2013,127,4,DL,54.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,70.0,57.0,127.0,23.0,,
2000,4,1,WR,54.0,23.0,,,,,,,,,,,,,,,,,,,207.0,3517.0,17.0,32.0,65.1,,,,,,,
2022,47,2,DL,54.0,24.0,32.829166666666666,,,,,,,,,,,,,,,,,,,,,,,10.5,53.0,76.0,129.0,17.5,,
2014,144,5,LB,54.0,23.0,30.65,,,,,,,,,,,,,,,,,,,,,,,7.0,139.0,75.0,214.0,29.0,,
2021,10,1,WR,54.0,22.0,31.19076923076923,,,,,,,,,,,,,,,,,,235.0,3965.0,16.9,46.0,73.4,,,,,,,
2014,206,6,DB,54.0,24.0,6.851351351351352,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,15.0
2011,234,7,LB,54.0,22.0,19.3,,,,,,,,,,,,,,,,,,,,,,,4.0,121.0,87.0,208.0,13.0,,
2014,30,1,DB,54.0,23.0,6.027272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0
2018,217,6,LB,54.0,23.0,24.86,,,,,,,,,,,,,,,,,,,,,,,7.5,155.0,87.0,242.0,19.5,,
