draft_year,pick,round,pos,G,age,avg_team_sp,qb_Cmp,qb_Att,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_Y/A,qb_AY/A,qb_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y_per_Att,rb_rush_TD,rb_rec_Rec,rb_rec_Yds,rb_rec_Y_per_Rec,rb_rec_TD,rec_Rec,rec_Yds,rec_Y/R,rec_TD,rec_Y/G,Sk,Solo,Ast,Comb,TFL,Int,PD
2013,98,4,QB,47.0,22.0,19.6,1001.0,1562.0,64.1,12327.0,116.0,48.0,7.9,7.99,262.3,,,,,,,,,,,,,,,,,,,,
2013,59,2,WR,47.0,22.0,-8.616666666666667,,,,,,,,,,,,,,,,,,165.0,2398.0,14.5,24.0,51.0,,,,,,,
2021,246,7,DE,47.0,23.0,21.138709677419357,,,,,,,,,,,,,,,,,,,,,,,21.5,59.0,57.0,116.0,30.5,,
2022,11,1,WR,47.0,22.0,30.2109375,,,,,,,,,,,,,,,,,,176.0,2711.0,15.4,35.0,57.7,,,,,,,
2022,13,1,DL,47.0,22.0,3.934057971014493,,,,,,,,,,,,,,,,,,,,,,,7.0,37.0,54.0,91.0,12.0,,
2008,57,2,QB,47.0,23.0,,828.0,1387.0,59.7,9715.0,87.0,37.0,7.0,7.06,206.7,,,,,,,,,,,,,,,,,,,,
2005,116,4,WR,47.0,22.0,,,,,,,,,,,,,,,,,,,123.0,2153.0,17.5,18.0,45.8,,,,,,,
2015,186,6,WR,47.0,23.0,-7.25,,,,,,,,,,,,,,,,,,165.0,2292.0,13.9,7.0,48.8,,,,,,,
2003,17,1,WR,47.0,22.0,,,,,,,,,,,,,,,,,,,110.0,2008.0,18.3,10.0,42.7,,,,,,,
2015,213,6,TE,47.0,22.0,-15.22,,,,,,,,,,,,,,,,,,96.0,979.0,10.2,9.0,20.8,,,,,,,
2011,143,5,DB,47.0,22.0,4.480392156862745,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0
2007,52,2,RB,47.0,23.0,,,,,,,,,,,678.0,2775.0,4.1,32.0,207.0,1868.0,9.0,13.0,,,,,,,,,,,,
2007,162,5,TE,47.0,22.0,,,,,,,,,,,,,,,,,,,91.0,1135.0,12.5,14.0,24.1,,,,,,,
2007,219,7,LB,47.0,23.0,-5.1863636363636365,,,,,,,,,,,,,,,,,,,,,,,4.5,107.0,92.0,199.0,11.5,,
2022,129,4,TE,47.0,23.0,20.071428571428573,,,,,,,,,,,,,,,,,,145.0,1618.0,11.2,13.0,34.4,,,,,,,
2011,91,3,LB,47.0,23.0,-1.5500000000000005,,,,,,,,,,,,,,,,,,,,,,,4.5,135.0,105.0,240.0,12.5,,
2016,71,3,DB,47.0,22.0,11.971428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,6.0
2016,103,4,DL,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,7.5,91.0,50.0,141.0,32.0,,
2016,104,4,DB,47.0,22.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,21.0
2016,125,4,LB,47.0,21.0,17.3,,,,,,,,,,,,,,,,,,,,,,,4.5,130.0,164.0,294.0,21.0,,
2011,99,4,LB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,131.0,127.0,258.0,22.5,,
2011,107,4,WR,47.0,23.0,21.125,,,,,,,,,,,,,,,,,,64.0,1109.0,17.3,4.0,23.6,,,,,,,
2005,115,4,DB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
2008,86,3,DB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
2008,90,3,DL,47.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,82.0,39.0,121.0,15.5,,
2008,117,4,DB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,
2008,118,4,LB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,112.0,154.0,266.0,25.0,,
2008,127,4,WR,47.0,23.0,,,,,,,,,,,,,,,,,,,133.0,1417.0,10.7,11.0,30.1,,,,,,,
2008,141,5,TE,47.0,22.0,,,,,,,,,,,,,,,,,,,108.0,1491.0,13.8,17.0,31.7,,,,,,,
2021,140,4,LB,47.0,22.0,16.05263157894737,,,,,,,,,,,,,,,,,,,,,,,6.5,102.0,108.0,210.0,24.5,,
2021,172,5,CB,47.0,21.0,13.73404255319149,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,21.0
2017,77,3,DL,47.0,22.0,14.4,,,,,,,,,,,,,,,,,,,,,,,16.0,70.0,91.0,161.0,36.5,,
2002,125,4,DB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
2016,203,6,DL,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,17.5,87.0,79.0,166.0,36.0,,
2011,2,1,DL,47.0,22.0,13.8,,,,,,,,,,,,,,,,,,,,,,,33.0,104.0,77.0,181.0,50.5,,
2016,134,4,RB,47.0,22.0,-2.395652173913044,,,,,,,,,,801.0,4480.0,5.6,72.0,88.0,972.0,11.0,15.0,,,,,,,,,,,,
2016,140,5,WR,47.0,21.0,-21.65,,,,,,,,,,,,,,,,,,277.0,3486.0,12.6,16.0,74.2,,,,,,,
2016,159,5,DB,47.0,22.0,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,21.0
2012,122,4,WR,47.0,23.0,19.071428571428573,,,,,,,,,,,,,,,,,,171.0,2447.0,14.3,18.0,52.1,,,,,,,
2012,128,4,TE,47.0,23.0,23.64,,,,,,,,,,,,,,,,,,53.0,471.0,8.9,6.0,10.0,,,,,,,
2012,132,4,DL,47.0,23.0,17.3,,,,,,,,,,,,,,,,,,,,,,,15.5,54.0,69.0,123.0,27.0,,
2013,191,6,DB,47.0,23.0,22.126923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,
2013,169,6,DB,47.0,22.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
2008,196,6,TE,47.0,22.0,,,,,,,,,,,,,,,,,,,97.0,1184.0,12.2,6.0,25.2,,,,,,,
2009,13,1,DL,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,75.0,28.0,103.0,34.5,,
2012,86,3,LB,47.0,22.0,10.9,,,,,,,,,,,,,,,,,,,,,,,10.5,169.0,148.0,317.0,46.0,,
2012,104,4,WR,47.0,22.0,17.605555555555558,,,,,,,,,,,,,,,,,,164.0,2410.0,14.7,17.0,51.3,,,,,,,
2003,231,7,WR,47.0,23.0,,,,,,,,,,,,,,,,,,,90.0,1595.0,17.7,19.0,33.9,,,,,,,
2003,206,6,RB,47.0,23.0,,,,,,,,,,,813.0,4045.0,5.0,50.0,101.0,1175.0,11.6,18.0,,,,,,,,,,,,
2013,224,7,WR,47.0,23.0,0.7800000000000002,,,,,,,,,,,,,,,,,,81.0,1088.0,13.4,9.0,23.1,,,,,,,
2013,237,7,QB,47.0,24.0,-6.043165467625899,649.0,1132.0,57.3,8433.0,52.0,39.0,7.4,6.82,179.4,,,,,,,,,,,,,,,,,,,,
2009,20,1,TE,47.0,24.0,,,,,,,,,,,,,,,,,,,112.0,1450.0,12.9,9.0,30.9,,,,,,,
2009,26,1,LB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,5.5,57.0,40.0,97.0,13.5,,
2015,69,3,WR,47.0,22.0,17.01264367816092,,,,,,,,,,,,,,,,,,249.0,3710.0,14.9,29.0,78.9,,,,,,,
2015,84,3,LB,47.0,23.0,9.0,,,,,,,,,,,,,,,,,,,,,,,5.5,128.0,111.0,239.0,20.5,,
2015,89,3,QB,47.0,23.0,7.077358490566037,1187.0,1838.0,64.6,13600.0,83.0,54.0,7.4,6.98,289.4,,,,,,,,,,,,,,,,,,,,
2015,92,3,TE,47.0,22.0,24.542857142857144,,,,,,,,,,,,,,,,,,52.0,792.0,15.2,7.0,16.9,,,,,,,
2015,93,3,DL,47.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,17.0,77.0,65.0,142.0,31.5,,
2010,219,7,WR,47.0,22.0,6.007692307692308,,,,,,,,,,,,,,,,,,109.0,1192.0,10.9,5.0,25.4,,,,,,,
2017,31,1,LB,47.0,23.0,31.7,,,,,,,,,,,,,,,,,,,,,,,8.0,123.0,99.0,222.0,24.0,,
2017,49,2,LB,47.0,23.0,18.984375,,,,,,,,,,,,,,,,,,,,,,,19.5,66.0,62.0,128.0,40.0,,
2021,40,2,DB,47.0,23.0,15.686440677966102,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,18.0
2021,60,2,LB,47.0,22.0,30.251612903225805,,,,,,,,,,,,,,,,,,,,,,,4.0,111.0,74.0,185.0,16.0,,
2021,66,3,QB,47.0,22.0,16.182089552238807,801.0,1358.0,59.0,9661.0,71.0,27.0,7.1,7.27,205.6,,,,,,,,,,,,,,,,,,,,
2021,77,3,WR,47.0,21.0,4.473809523809524,,,,,,,,,,,,,,,,,,99.0,1514.0,15.3,7.0,32.2,,,,,,,
2021,92,3,LB,47.0,22.0,25.67096774193548,,,,,,,,,,,,,,,,,,,,,,,2.0,115.0,104.0,219.0,10.5,,
2021,133,4,QB,47.0,23.0,20.130434782608692,728.0,1141.0,63.8,8948.0,72.0,20.0,7.8,8.32,190.4,,,,,,,,,,,,,,,,,,,,
2020,214,6,WR,47.0,22.0,20.233766233766232,,,,,,,,,,,,,,,,,,68.0,996.0,14.6,15.0,21.2,,,,,,,
2009,40,2,DL,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,35.0,85.0,22.0,,
2009,66,3,DB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
2009,68,3,DL,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,21.5,89.0,56.0,145.0,42.0,,
2017,245,7,CB,47.0,21.0,7.48695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,26.0
2017,108,4,LB,47.0,24.0,16.1,,,,,,,,,,,,,,,,,,,,,,,20.5,111.0,71.0,182.0,37.5,,
2017,131,4,DL,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,16.5,51.0,61.0,112.0,23.0,,
2010,134,5,DL,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,17.5,70.0,72.0,142.0,38.0,,
2010,138,5,DB,47.0,23.0,13.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
2010,142,5,DL,47.0,22.0,-11.5,,,,,,,,,,,,,,,,,,,,,,,14.5,89.0,51.0,140.0,29.0,,
2010,154,5,TE,47.0,21.0,21.075,,,,,,,,,,,,,,,,,,87.0,1146.0,13.2,8.0,24.4,,,,,,,
2005,248,7,TE,47.0,22.0,,,,,,,,,,,,,,,,,,,28.0,252.0,9.0,5.0,5.4,,,,,,,
2010,182,6,TE,47.0,22.0,,,,,,,,,,,,,,,,,,,47.0,612.0,13.0,3.0,13.0,,,,,,,
2010,198,6,WR,47.0,23.0,,,,,,,,,,,,,,,,,,,116.0,1555.0,13.4,4.0,33.1,,,,,,,
2018,41,2,DL,47.0,22.0,0.8111111111111109,,,,,,,,,,,,,,,,,,,,,,,26.0,100.0,60.0,160.0,47.5,,
2003,55,2,DB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
2015,8,1,DL,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,72.0,17.0,89.0,52.0,,
2015,16,1,DB,47.0,23.0,-9.033333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,20.0
2015,22,1,LB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,23.5,145.0,102.0,247.0,37.0,,
2015,38,2,DL,47.0,22.0,22.2,,,,,,,,,,,,,,,,,,,,,,,16.0,73.0,61.0,134.0,27.0,,
2015,47,2,DB,47.0,22.0,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,28.0
2010,103,4,LB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,87.0,98.0,185.0,13.0,,
2017,222,7,DB,47.0,22.0,9.5531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,21.0
2017,230,7,DB,47.0,23.0,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,11.0
2017,244,7,DT,47.0,24.0,12.3,,,,,,,,,,,,,,,,,,,,,,,13.0,77.0,84.0,161.0,31.5,,
2020,161,5,WR,47.0,22.0,6.423188405797101,,,,,,,,,,,,,,,,,,199.0,3094.0,15.5,30.0,65.8,,,,,,,
2020,172,5,RB,47.0,22.0,-16.826666666666668,,,,,,,,,,373.0,2182.0,5.8,18.0,134.0,1119.0,8.4,7.0,,,,,,,,,,,,
2020,179,5,DE,47.0,22.0,14.844444444444443,,,,,,,,,,,,,,,,,,,,,,,30.0,86.0,49.0,135.0,41.5,,
2020,194,6,DT,47.0,24.0,5.219354838709678,,,,,,,,,,,,,,,,,,,,,,,13.0,63.0,42.0,105.0,23.0,,
2020,70,3,DB,47.0,22.0,-2.938857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0
2012,52,2,LB,47.0,22.0,9.761403508771927,,,,,,,,,,,,,,,,,,,,,,,5.5,143.0,87.0,230.0,19.0,,
2014,120,4,QB,47.0,23.0,16.394827586206898,693.0,1248.0,55.5,9003.0,52.0,39.0,7.2,6.64,191.6,,,,,,,,,,,,,,,,,,,,
2014,131,4,DB,47.0,22.0,-0.7333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0
2014,133,4,DB,47.0,23.0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,34.0
2015,56,2,DB,47.0,22.0,10.542857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,12.0
2005,78,3,LB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,181,6,TE,47.0,24.0,11.65,,,,,,,,,,,,,,,,,,10.0,62.0,6.2,0.0,1.3,,,,,,,
2011,182,6,WR,47.0,23.0,24.225806451612904,,,,,,,,,,,,,,,,,,138.0,1750.0,12.7,20.0,37.2,,,,,,,
2014,214,6,QB,47.0,23.0,5.683333333333334,908.0,1548.0,58.7,9761.0,49.0,45.0,6.3,5.63,207.7,,,,,,,,,,,,,,,,,,,,
2014,217,7,TE,47.0,23.0,-6.35,,,,,,,,,,,,,,,,,,117.0,1337.0,11.4,15.0,28.4,,,,,,,
2010,82,3,WR,47.0,23.0,-11.09,,,,,,,,,,,,,,,,,,285.0,3791.0,13.3,34.0,80.7,,,,,,,
2018,124,4,DB,47.0,22.0,12.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,19.0
2018,131,4,RB,47.0,22.0,3.4176470588235293,,,,,,,,,,450.0,1984.0,4.4,27.0,82.0,684.0,8.3,2.0,,,,,,,,,,,,
2018,31,1,RB,47.0,23.0,20.96666666666667,,,,,,,,,,591.0,3638.0,6.2,33.0,64.0,621.0,9.7,6.0,,,,,,,,,,,,
2018,35,2,RB,47.0,22.0,19.346511627906978,,,,,,,,,,758.0,4769.0,6.3,44.0,31.0,361.0,11.6,4.0,,,,,,,,,,,,
2001,139,5,LB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,144,5,S,47.0,23.0,17.13611111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0
2019,43,2,LB,47.0,22.0,-13.913157894736845,,,,,,,,,,,,,,,,,,,,,,,17.5,219.0,171.0,390.0,41.0,,
2018,209,6,DB,47.0,22.0,-1.3258064516129031,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,29.0
2001,218,7,WR,47.0,22.0,2.9909090909090907,,,,,,,,,,,,,,,,,,83.0,1316.0,15.9,7.0,28.0,,,,,,,
2010,58,2,RB,47.0,22.0,15.022222222222222,,,,,,,,,,678.0,3321.0,4.9,24.0,53.0,336.0,6.3,0.0,,,,,,,,,,,,
2015,48,2,LB,47.0,22.0,13.107692307692306,,,,,,,,,,,,,,,,,,,,,,,4.5,240.0,111.0,351.0,27.0,,
2014,97,3,RB,47.0,23.0,-7.015584415584416,,,,,,,,,,325.0,2342.0,7.2,24.0,99.0,1194.0,12.1,12.0,,,,,,,,,,,,
2009,141,5,WR,47.0,22.0,,,,,,,,,,,,,,,,,,,207.0,2781.0,13.4,19.0,59.2,,,,,,,
2009,148,5,DB,47.0,23.0,-16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0
2006,109,4,WR,47.0,23.0,,,,,,,,,,,,,,,,,,,169.0,2247.0,13.3,13.0,47.8,,,,,,,
2020,27,1,LB,47.0,22.0,5.138095238095238,,,,,,,,,,,,,,,,,,,,,,,7.0,220.0,147.0,367.0,33.0,,
2009,190,6,DB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
2014,192,6,LB,47.0,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,,5.0,141.0,75.0,216.0,20.0,,
2014,239,7,WR,47.0,22.0,-6.96,,,,,,,,,,,,,,,,,,25.0,304.0,12.2,0.0,6.5,,,,,,,
2014,240,7,WR,47.0,23.0,9.92127659574468,,,,,,,,,,,,,,,,,,187.0,3102.0,16.6,24.0,66.0,,,,,,,
2003,100,4,DB,47.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
2003,101,4,RB,47.0,22.0,,,,,,,,,,,455.0,2056.0,4.5,20.0,41.0,393.0,9.6,1.0,,,,,,,,,,,,
2011,242,7,LB,47.0,22.0,15.9,,,,,,,,,,,,,,,,,,,,,,,1.0,101.0,73.0,174.0,14.5,,
2009,211,7,RB,47.0,23.0,,,,,,,,,,,140.0,597.0,4.3,8.0,75.0,792.0,10.6,3.0,,,,,,,,,,,,
2009,227,7,DB,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,
2019,104,4,QB,47.0,24.0,11.091891891891892,939.0,1462.0,64.2,11147.0,63.0,30.0,7.6,7.56,237.2,,,,,,,,,,,,,,,,,,,,
2014,213,6,QB,47.0,23.0,15.225,901.0,1402.0,64.3,11904.0,107.0,39.0,8.5,8.77,253.3,,,,,,,,,,,,,,,,,,,,
2014,142,5,WR,47.0,23.0,-18.125,,,,,,,,,,,,,,,,,,196.0,2769.0,14.1,21.0,58.9,,,,,,,
2014,148,5,DB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,17.0
2014,154,5,LB,47.0,22.0,-3.8,,,,,,,,,,,,,,,,,,,,,,,3.5,137.0,88.0,225.0,16.0,,
2009,210,7,DL,47.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,69.0,41.0,110.0,26.5,,
2019,197,6,QB,47.0,24.0,19.789743589743587,720.0,1215.0,59.3,9899.0,77.0,25.0,8.1,8.49,210.6,,,,,,,,,,,,,,,,,,,,
2019,213,6,DB,47.0,24.0,4.316901408450704,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
2019,162,5,LB,47.0,22.0,13.486,,,,,,,,,,,,,,,,,,,,,,,3.5,211.0,143.0,354.0,26.5,,
2019,184,6,WR,47.0,23.0,-8.774074074074074,,,,,,,,,,,,,,,,,,128.0,2044.0,16.0,18.0,43.5,,,,,,,
2022,88,3,WR,47.0,23.0,-16.9,,,,,,,,,,,,,,,,,,178.0,3140.0,17.6,22.0,66.8,,,,,,,
2007,246,7,RB,47.0,24.0,,,,,,,,,,,702.0,3324.0,4.7,11.0,70.0,340.0,4.9,2.0,,,,,,,,,,,,
2008,24,1,RB,47.0,22.0,7.083333333333333,,,,,,,,,,624.0,2982.0,4.8,32.0,125.0,1296.0,10.4,10.0,,,,,,,,,,,,
2008,38,2,TE,47.0,24.0,,,,,,,,,,,,,,,,,,,100.0,1093.0,10.9,8.0,23.3,,,,,,,
2012,173,6,RB,47.0,23.0,-22.622222222222224,,,,,,,,,,733.0,3529.0,4.8,27.0,30.0,300.0,10.0,4.0,,,,,,,,,,,,
2004,155,5,LB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,27,1,LB,47.0,23.0,16.616,,,,,,,,,,,,,,,,,,,,,,,16.5,149.0,106.0,255.0,43.0,,
2022,50,2,WR,47.0,21.0,6.935135135135136,,,,,,,,,,,,,,,,,,143.0,2242.0,15.7,19.0,47.7,,,,,,,
2012,211,7,DL,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,130.0,77.0,207.0,43.5,,
2012,224,7,DB,47.0,22.0,19.41111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,13.0
2012,238,7,WR,47.0,23.0,10.0,,,,,,,,,,,,,,,,,,88.0,1638.0,18.6,11.0,34.9,,,,,,,
2012,253,7,QB,47.0,24.0,0.9,687.0,1110.0,61.9,8944.0,68.0,26.0,8.1,8.23,190.3,,,,,,,,,,,,,,,,,,,,
2004,107,4,LB,47.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,256,7,LB,47.0,23.0,19.43448275862069,,,,,,,,,,,,,,,,,,,,,,,0.5,85.0,66.0,151.0,11.5,,
2012,247,7,TE,46.0,23.0,29.66,,,,,,,,,,,,,,,,,,54.0,559.0,10.4,4.0,12.2,,,,,,,
2012,216,7,DB,46.0,23.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0
2012,215,7,DL,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,45.0,44.0,89.0,18.5,,
2004,128,4,RB,46.0,23.0,,,,,,,,,,,589.0,3018.0,5.1,26.0,26.0,138.0,5.3,1.0,,,,,,,,,,,,
2012,214,7,DL,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,53.0,37.0,90.0,20.5,,
2022,33,2,DL,46.0,22.0,0.4333333333333332,,,,,,,,,,,,,,,,,,,,,,,8.0,50.0,49.0,99.0,20.5,,
2000,66,3,WR,46.0,23.0,,,,,,,,,,,,,,,,,,,105.0,1520.0,14.5,7.0,33.0,,,,,,,
2022,165,5,DL,46.0,23.0,9.654166666666669,,,,,,,,,,,,,,,,,,,,,,,7.5,50.0,31.0,81.0,13.5,,
2004,202,7,QB,46.0,23.0,,744.0,1327.0,56.1,9014.0,70.0,30.0,6.8,6.83,196.0,,,,,,,,,,,,,,,,,,,,
2021,217,6,RB,46.0,23.0,-7.902380952380954,,,,,,,,,,474.0,2917.0,6.2,22.0,33.0,293.0,8.9,1.0,,,,,,,,,,,,
2008,30,1,TE,46.0,23.0,,,,,,,,,,,,,,,,,,,142.0,1882.0,13.3,16.0,40.9,,,,,,,
2008,27,1,DB,46.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,
2007,254,7,WR,46.0,22.0,,,,,,,,,,,,,,,,,,,85.0,1426.0,16.8,6.0,31.0,,,,,,,
2007,229,7,WR,46.0,23.0,,,,,,,,,,,,,,,,,,,103.0,1566.0,15.2,13.0,34.0,,,,,,,
2007,228,7,RB,46.0,23.0,,,,,,,,,,,446.0,2077.0,4.7,25.0,35.0,376.0,10.7,3.0,,,,,,,,,,,,
2022,95,3,DE,46.0,23.0,21.95833333333333,,,,,,,,,,,,,,,,,,,,,,,17.5,39.0,68.0,107.0,27.0,,
2007,148,5,RB,46.0,22.0,,,,,,,,,,,316.0,1863.0,5.9,18.0,56.0,581.0,10.4,2.0,,,,,,,,,,,,
2007,51,2,WR,46.0,22.0,,,,,,,,,,,,,,,,,,,190.0,3019.0,15.9,22.0,65.6,,,,,,,
2019,172,5,DB,46.0,22.0,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0
2019,221,7,CB,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,41.0
2019,186,6,RB,46.0,21.0,-0.8923076923076924,,,,,,,,,,348.0,2635.0,7.6,17.0,29.0,318.0,11.0,2.0,,,,,,,,,,,,
2006,83,3,DB,46.0,22.0,-14.456410256410257,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,
2009,201,6,QB,46.0,24.0,,987.0,1648.0,59.9,11163.0,67.0,46.0,6.8,6.33,242.7,,,,,,,,,,,,,,,,,,,,
2003,127,4,WR,46.0,22.0,,,,,,,,,,,,,,,,,,,146.0,2195.0,15.0,15.0,47.7,,,,,,,
2014,208,6,DB,46.0,23.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0
2006,79,3,RB,46.0,23.0,,,,,,,,,,,573.0,3222.0,5.6,15.0,43.0,186.0,4.3,2.0,,,,,,,,,,,,
2009,217,7,DB,46.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
2011,246,7,RB,46.0,23.0,-2.15,,,,,,,,,,478.0,2660.0,5.6,22.0,40.0,416.0,10.4,3.0,,,,,,,,,,,,
2005,21,1,QB,46.0,22.0,15.379545454545456,417.0,755.0,55.2,5857.0,53.0,30.0,7.8,7.37,127.3,,,,,,,,,,,,,,,,,,,,
2011,241,7,WR,46.0,23.0,23.2,,,,,,,,,,,,,,,,,,64.0,700.0,10.9,7.0,15.2,,,,,,,
2014,242,7,LB,46.0,22.0,21.766666666666666,,,,,,,,,,,,,,,,,,,,,,,7.5,77.0,79.0,156.0,17.5,,
2003,85,3,RB,46.0,23.0,,,,,,,,,,,334.0,1509.0,4.5,17.0,78.0,728.0,9.3,4.0,,,,,,,,,,,,
2006,90,3,WR,46.0,21.0,,,,,,,,,,,,,,,,,,,130.0,2195.0,16.9,18.0,47.7,,,,,,,
2014,180,6,DB,46.0,22.0,-5.547619047619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,17.0
2012,30,1,WR,46.0,22.0,1.6777777777777778,,,,,,,,,,,,,,,,,,167.0,2432.0,14.6,19.0,52.9,,,,,,,
2005,6,1,DB,46.0,21.0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
2011,254,7,DL,46.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,121.0,77.0,198.0,25.0,,
2019,252,7,DB,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,21.0
2009,146,5,LB,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,211.0,133.0,344.0,28.5,,
2020,94,3,TE,46.0,23.0,3.804255319148936,,,,,,,,,,,,,,,,,,92.0,1117.0,12.1,12.0,24.3,,,,,,,
2003,221,7,WR,46.0,22.0,,,,,,,,,,,,,,,,,,,162.0,2552.0,15.8,22.0,55.5,,,,,,,
2003,161,5,TE,46.0,23.0,,,,,,,,,,,,,,,,,,,56.0,716.0,12.8,9.0,15.6,,,,,,,
2010,56,2,DL,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,56.0,43.0,99.0,26.0,,
2018,160,5,DE,46.0,23.0,25.74705882352941,,,,,,,,,,,,,,,,,,,,,,,20.0,105.0,58.0,163.0,33.5,,
2018,140,5,DT,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,12.5,64.0,68.0,132.0,33.5,,
2001,210,7,DB,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
2018,220,7,QB,46.0,22.0,-15.455555555555556,806.0,1335.0,60.4,9091.0,65.0,37.0,6.8,6.54,197.6,,,,,,,,,,,,,,,,,,,,
2010,43,2,LB,46.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,16.5,107.0,44.0,151.0,33.5,,
2010,13,1,LB,46.0,22.0,8.2,,,,,,,,,,,,,,,,,,,,,,,29.5,86.0,52.0,138.0,56.0,,
