Solo,Ast,Comb,TFL,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,age,dr_av,draft_year
109.0,83.0,196.0,23.0,72.0,243.0,4.68,23.0,39.0,120.0,6.71,3.83,22.0,11.0,2002
109.0,83.0,196.0,23.0,74.0,236.0,4.62,26.0,35.5,117.0,6.93,4.09,23.0,19.0,2002
109.0,83.0,196.0,23.0,74.0,236.0,4.83,19.0,35.5,120.0,6.56,4.09,24.0,13.0,2002
109.0,83.0,196.0,23.0,73.0,231.0,4.83,24.0,30.0,119.0,7.18,4.41,22.0,51.0,2002
109.0,83.0,196.0,23.0,76.0,242.0,4.6,17.0,35.0,122.0,6.86,4.05,22.0,7.0,2002
109.0,83.0,196.0,23.0,73.0,244.0,4.77,20.0,31.5,112.0,7.09,4.275,23.0,37.0,2002
109.0,83.0,196.0,23.0,77.0,248.0,4.64,20.0,42.0,122.0,7.09,4.21,23.0,13.0,2002
109.0,83.0,196.0,23.0,75.0,234.0,4.69,23.0,36.5,123.0,6.99,4.28,24.0,2.0,2002
109.0,83.0,196.0,23.0,74.0,251.0,4.73,22.0,36.0,117.0,7.02,4.19,23.0,6.0,2002
109.0,83.0,196.0,23.0,74.0,238.0,4.87,23.0,40.0,118.0,7.24,4.275,22.0,1.0,2002
109.0,83.0,196.0,23.0,75.0,250.0,4.82,26.0,33.5,113.0,7.48,4.38,23.0,1.0,2002
109.0,83.0,196.0,23.0,72.0,231.0,4.53,23.0,32.5,110.0,7.09,4.275,24.0,2.0,2002
109.0,83.0,196.0,23.0,74.0,236.0,4.67,32.0,34.5,123.0,7.0,4.08,22.0,50.0,2003
109.0,83.0,196.0,23.0,75.0,233.0,4.58,23.0,42.0,135.0,7.09,4.275,23.0,21.0,2003
109.0,83.0,196.0,23.0,73.0,245.0,4.8,20.0,34.5,119.0,7.09,4.275,23.0,47.0,2003
109.0,83.0,196.0,23.0,72.0,231.0,4.65,19.0,34.5,111.0,6.97,4.07,22.0,30.0,2003
109.0,83.0,196.0,23.0,73.0,253.0,4.69,25.0,37.0,117.0,7.32,4.24,23.0,20.0,2003
109.0,83.0,196.0,23.0,72.0,237.0,4.71,23.0,34.5,119.0,7.09,4.275,23.0,3.0,2003
109.0,83.0,196.0,23.0,73.0,251.0,4.78,28.0,27.5,119.0,7.09,4.275,22.0,1.0,2003
109.0,83.0,196.0,23.0,74.0,240.0,4.58,29.0,35.5,123.0,7.01,4.22,23.0,16.0,2003
109.0,83.0,196.0,23.0,72.0,252.0,4.86,29.0,33.0,117.0,7.26,4.33,23.0,26.0,2003
109.0,83.0,196.0,23.0,75.0,246.0,4.65,21.0,37.0,125.0,7.07,4.35,23.0,9.0,2003
109.0,83.0,196.0,23.0,73.0,242.0,4.75,25.0,33.0,113.0,7.09,4.275,22.0,98.0,2003
109.0,83.0,196.0,23.0,73.0,238.0,4.75,23.0,30.5,107.0,7.57,4.35,22.0,27.0,2003
109.0,83.0,196.0,23.0,72.0,228.0,4.68,23.0,34.5,119.0,7.09,4.275,23.0,1.0,2003
109.0,83.0,196.0,23.0,72.0,236.0,4.73,25.0,32.5,119.0,7.08,4.29,22.0,18.0,2003
109.0,83.0,196.0,23.0,74.0,242.0,4.71,23.0,32.5,113.0,7.53,4.54,22.0,47.0,2003
109.0,83.0,196.0,23.0,76.0,245.0,4.8,23.0,34.5,119.0,7.09,4.275,22.0,15.0,2003
109.0,83.0,196.0,23.0,73.0,243.0,4.89,19.0,30.0,112.0,7.23,4.34,21.0,2.0,2003
109.0,83.0,196.0,23.0,74.0,227.0,4.61,26.0,36.5,126.0,7.13,4.25,24.0,1.0,2003
109.0,83.0,196.0,23.0,72.0,229.0,4.8,27.0,29.0,111.0,7.32,4.34,23.0,0.0,2003
109.0,83.0,196.0,23.0,73.0,241.0,4.6,26.0,34.5,119.0,7.09,4.275,23.0,6.0,2003
109.0,83.0,196.0,23.0,75.0,252.0,4.88,21.0,33.0,110.0,7.55,4.46,23.0,4.0,2003
109.0,83.0,196.0,23.0,74.0,245.0,4.72,20.0,31.0,111.0,7.27,4.32,23.0,0.0,2003
109.0,83.0,196.0,23.0,72.0,233.0,4.61,23.0,34.5,119.0,7.09,4.275,22.0,25.0,2004
109.0,83.0,196.0,23.0,73.0,250.0,4.55,23.0,34.5,119.0,7.09,4.275,22.0,45.0,2004
109.0,83.0,196.0,23.0,75.0,251.0,4.58,23.0,34.5,119.0,7.09,4.275,22.0,53.0,2004
109.0,83.0,196.0,23.0,73.0,240.0,4.55,26.0,34.5,113.0,6.91,4.06,22.0,9.0,2004
109.0,83.0,196.0,23.0,74.0,234.0,4.67,24.0,34.5,119.0,7.09,4.275,22.0,47.0,2004
109.0,83.0,196.0,23.0,74.0,241.0,4.57,26.0,38.5,129.0,7.09,4.0,24.0,8.0,2004
109.0,83.0,196.0,23.0,74.0,225.0,4.5,23.0,34.5,119.0,6.89,3.92,22.0,15.0,2004
109.0,83.0,196.0,23.0,73.0,237.0,4.56,22.0,36.5,114.0,7.39,4.35,23.0,7.0,2004
109.0,83.0,196.0,23.0,73.0,229.0,4.65,23.0,34.5,119.0,7.09,4.275,22.0,7.0,2004
109.0,83.0,196.0,23.0,75.0,223.0,4.55,25.0,36.5,121.0,7.02,4.12,22.0,2.0,2004
109.0,83.0,196.0,23.0,75.0,224.0,4.66,23.0,34.5,120.0,6.85,3.93,24.0,8.0,2004
109.0,83.0,196.0,23.0,73.0,241.0,4.65,22.0,35.5,119.0,7.25,4.16,22.0,1.0,2004
109.0,83.0,196.0,23.0,74.0,227.0,4.65,28.0,34.5,119.0,7.09,4.275,22.0,4.0,2004
109.0,83.0,196.0,23.0,74.0,227.0,4.65,20.0,37.5,120.0,7.0,4.08,23.0,22.0,2004
109.0,83.0,196.0,23.0,73.0,232.0,4.52,16.0,37.0,125.0,7.02,4.11,24.0,20.0,2004
109.0,83.0,196.0,23.0,73.0,226.0,4.7,23.0,34.5,118.0,7.09,4.26,23.0,0.0,2004
109.0,83.0,196.0,23.0,72.0,230.0,4.49,30.0,39.0,119.0,7.09,4.275,22.0,3.0,2004
109.0,83.0,196.0,23.0,74.0,244.0,4.71,23.0,30.5,108.0,6.98,3.88,23.0,5.0,2004
109.0,83.0,196.0,23.0,74.0,244.0,4.86,25.0,34.5,119.0,7.09,4.275,23.0,0.0,2004
109.0,83.0,196.0,23.0,75.0,253.0,4.71,23.0,33.0,115.0,7.09,4.08,21.0,16.0,2004
109.0,83.0,196.0,23.0,72.0,227.0,4.78,25.0,34.5,121.0,7.06,4.28,23.0,7.0,2004
109.0,83.0,196.0,23.0,74.0,239.0,4.76,23.0,34.5,114.0,7.2,4.02,23.0,3.0,2004
109.0,83.0,196.0,23.0,75.0,251.0,4.76,18.0,32.5,116.0,7.17,3.94,23.0,2.0,2004
109.0,83.0,196.0,23.0,76.0,242.0,4.61,21.0,34.5,118.0,6.94,3.94,22.0,1.0,2004
109.0,83.0,196.0,23.0,71.0,230.0,4.71,24.0,34.5,106.0,7.09,4.275,22.0,10.0,2004
109.0,83.0,196.0,23.0,74.0,230.0,4.6,14.0,34.0,112.0,7.12,4.05,23.0,11.0,2004
109.0,83.0,196.0,23.0,76.0,251.0,4.56,27.0,38.5,122.0,6.83,4.07,23.0,88.0,2005
109.0,83.0,196.0,23.0,74.0,241.0,4.75,25.0,34.5,112.0,7.22,3.94,22.0,36.0,2005
109.0,83.0,196.0,23.0,75.0,239.0,4.58,20.0,36.0,130.0,7.09,4.275,22.0,6.0,2005
109.0,83.0,196.0,23.0,72.0,238.0,4.83,23.0,35.0,113.0,7.31,4.16,22.0,49.0,2005
109.0,83.0,196.0,23.0,72.0,233.0,4.62,23.0,34.0,114.0,7.47,4.275,22.0,7.0,2005
109.0,83.0,196.0,23.0,74.0,252.0,4.71,23.0,34.5,119.0,7.09,4.275,21.0,31.0,2005
109.0,83.0,196.0,23.0,73.0,235.0,4.75,25.0,34.5,119.0,7.09,4.31,23.0,33.0,2005
109.0,83.0,196.0,23.0,73.0,238.0,4.68,25.0,31.5,112.0,7.69,4.45,22.0,2.0,2005
109.0,83.0,196.0,23.0,74.0,233.0,4.6,25.0,41.0,128.0,7.11,4.1,22.0,1.0,2005
109.0,83.0,196.0,23.0,75.0,247.0,4.7,25.0,39.0,126.0,7.05,4.29,22.0,4.0,2005
109.0,83.0,196.0,23.0,73.0,229.0,4.65,25.0,34.0,116.0,7.23,4.1,22.0,37.0,2005
109.0,83.0,196.0,23.0,72.0,249.0,4.6,32.0,35.5,112.0,7.1,4.275,23.0,3.0,2005
109.0,83.0,196.0,23.0,74.0,236.0,4.7,23.0,34.5,119.0,7.09,4.275,22.0,66.0,2005
109.0,83.0,196.0,23.0,75.0,244.0,4.61,19.0,40.5,130.0,7.83,4.22,23.0,0.0,2005
109.0,83.0,196.0,23.0,74.0,248.0,4.6,33.0,36.5,120.0,7.16,4.11,23.0,4.0,2005
109.0,83.0,196.0,23.0,72.0,245.0,4.5,34.0,34.5,119.0,7.09,4.275,26.0,0.0,2005
109.0,83.0,196.0,23.0,75.0,236.0,4.56,23.0,34.0,113.0,7.08,4.12,23.0,22.0,2005
109.0,83.0,196.0,23.0,74.0,241.0,4.73,10.0,35.5,112.0,7.45,3.94,23.0,2.0,2005
109.0,83.0,196.0,23.0,74.0,247.0,4.85,15.0,33.5,119.0,7.49,4.38,23.0,1.0,2005
109.0,83.0,196.0,23.0,72.0,236.0,4.59,35.0,35.5,124.0,7.21,4.07,23.0,12.0,2005
109.0,83.0,196.0,23.0,73.0,236.0,4.71,22.0,37.0,110.0,7.09,4.38,23.0,1.0,2005
69.0,52.0,121.0,16.5,73.0,248.0,4.59,24.0,40.0,115.0,6.82,3.96,22.0,52.0,2006
22.0,50.0,72.0,10.0,71.0,231.0,4.5,25.0,41.0,125.0,7.31,4.22,21.0,18.0,2006
92.0,64.0,156.0,10.0,74.0,242.0,4.76,16.0,33.5,117.0,7.0,4.22,23.0,66.0,2006
33.0,16.0,49.0,10.5,74.0,256.0,4.65,23.0,34.5,119.0,7.09,4.275,23.0,5.0,2006
33.0,25.0,58.0,19.5,77.0,241.0,4.43,23.0,39.5,124.0,6.9,4.18,22.0,23.0,2006
41.0,35.0,76.0,11.5,73.0,236.0,4.65,23.0,39.0,129.0,7.19,4.17,22.0,39.0,2006
56.0,81.0,137.0,6.5,72.0,230.0,4.73,19.0,37.0,116.0,7.05,4.36,22.0,40.0,2006
109.0,83.0,196.0,23.0,74.0,237.0,4.62,18.0,41.5,119.0,7.09,4.275,23.0,33.0,2006
47.0,38.0,85.0,7.0,75.0,239.0,4.42,21.0,39.0,124.0,6.96,4.28,23.0,25.0,2006
96.0,62.0,158.0,11.0,72.0,236.0,4.76,23.0,31.0,108.0,7.09,4.3,23.0,1.0,2006
43.0,39.0,82.0,7.0,72.0,250.0,4.88,21.0,32.0,111.0,7.41,4.38,25.0,0.0,2006
31.0,21.0,52.0,9.5,73.0,223.0,4.5,30.0,40.0,132.0,6.9,4.13,23.0,0.0,2006
35.0,26.0,61.0,10.5,74.0,244.0,4.65,22.0,41.0,119.0,7.12,4.1,23.0,21.0,2006
41.0,41.0,82.0,8.5,75.0,229.0,4.59,23.0,41.0,121.0,6.67,4.07,22.0,25.0,2006
68.0,45.0,113.0,11.5,71.0,224.0,4.68,15.0,36.0,113.0,7.01,4.12,23.0,15.0,2006
44.0,41.0,85.0,9.0,75.0,233.0,4.66,19.0,39.0,122.0,7.21,4.17,23.0,6.0,2006
35.0,19.0,54.0,3.5,75.0,245.0,4.54,25.0,34.5,119.0,7.09,4.275,23.0,8.0,2006
59.0,75.0,134.0,21.0,71.0,241.0,4.84,27.0,33.5,113.0,7.19,4.15,21.0,20.0,2006
48.0,22.0,70.0,4.0,72.0,236.0,4.59,23.0,37.0,120.0,7.03,4.29,22.0,5.0,2006
20.0,24.0,44.0,4.0,72.0,232.0,4.51,41.0,39.0,124.0,6.97,4.11,23.0,0.0,2006
45.0,28.0,73.0,8.5,77.0,228.0,4.44,11.0,37.0,118.0,7.17,4.34,23.0,0.0,2006
48.0,55.0,103.0,7.5,73.0,246.0,4.59,23.0,35.5,110.0,7.25,4.39,23.0,9.0,2006
53.0,47.0,100.0,9.5,73.0,252.0,4.88,25.0,34.5,116.0,7.37,4.43,23.0,0.0,2006
50.0,28.0,78.0,8.0,73.0,234.0,4.78,23.0,37.0,116.0,7.31,4.28,22.0,22.0,2006
60.0,39.0,99.0,14.5,73.0,235.0,4.76,24.0,32.5,115.0,7.22,4.16,22.0,19.0,2006
81.0,75.0,156.0,7.0,73.0,242.0,4.73,23.0,38.0,118.0,7.09,4.07,22.0,1.0,2006
177.0,88.0,265.0,21.0,73.0,242.0,4.51,22.0,39.0,119.0,7.23,4.46,22.0,93.0,2007
59.0,55.0,114.0,21.5,73.0,234.0,4.66,25.0,35.0,123.0,6.89,4.32,21.0,68.0,2007
81.0,51.0,132.0,15.5,72.0,237.0,4.72,19.0,34.5,111.0,7.09,4.275,22.0,48.0,2007
133.0,99.0,232.0,20.5,74.0,238.0,4.7,22.0,37.0,116.0,6.94,4.2,22.0,17.0,2007
73.0,23.0,96.0,15.0,74.0,243.0,4.59,23.0,33.0,107.0,7.25,4.29,23.0,73.0,2007
109.0,83.0,196.0,23.0,73.0,230.0,4.51,25.0,36.0,121.0,6.77,4.09,21.0,15.0,2007
109.0,83.0,196.0,23.0,74.0,240.0,4.42,24.0,41.5,124.0,6.86,4.34,23.0,18.0,2007
53.0,48.0,101.0,9.0,76.0,254.0,4.72,28.0,35.5,112.0,7.29,4.17,23.0,17.0,2007
67.0,38.0,105.0,12.5,75.0,245.0,4.59,25.0,34.5,119.0,7.09,4.275,23.0,1.0,2007
120.0,48.0,168.0,31.0,73.0,232.0,4.64,29.0,33.5,110.0,7.29,4.45,24.0,27.0,2007
109.0,83.0,196.0,23.0,77.0,250.0,4.58,26.0,34.5,122.0,6.89,4.22,23.0,21.0,2007
69.0,45.0,114.0,38.0,73.0,240.0,4.43,31.0,35.0,122.0,7.29,4.32,22.0,3.0,2007
69.0,51.0,120.0,14.5,73.0,236.0,4.51,26.0,36.5,116.0,7.01,4.12,23.0,1.0,2007
131.0,89.0,220.0,26.5,73.0,228.0,4.79,25.0,35.0,117.0,7.06,4.3,24.0,0.0,2007
153.0,115.0,268.0,14.0,71.0,236.0,4.69,22.0,34.5,119.0,7.09,4.275,22.0,9.0,2007
127.0,88.0,215.0,21.0,74.0,239.0,4.78,33.0,34.5,119.0,7.09,4.275,23.0,17.0,2007
80.0,49.0,129.0,10.5,75.0,240.0,4.82,19.0,32.5,106.0,7.01,4.31,23.0,2.0,2007
107.0,92.0,199.0,11.5,74.0,240.0,4.8,26.0,32.0,110.0,7.19,4.42,23.0,0.0,2007
95.0,31.0,126.0,13.5,75.0,249.0,4.87,22.0,32.0,108.0,7.29,4.25,22.0,5.0,2007
86.0,55.0,141.0,19.0,74.0,241.0,4.62,23.0,30.5,109.0,7.34,4.275,21.0,10.0,2007
127.0,88.0,215.0,15.5,74.0,241.0,4.54,24.0,34.5,119.0,7.09,4.275,22.0,15.0,2008
143.0,93.0,236.0,21.0,73.0,242.0,4.54,23.0,32.0,114.0,7.31,4.29,22.0,51.0,2008
117.0,80.0,197.0,16.0,72.0,246.0,4.79,23.0,24.5,105.0,7.69,4.56,22.0,29.0,2008
178.0,105.0,283.0,21.5,72.0,229.0,4.71,23.0,30.5,118.0,7.01,4.35,22.0,2.0,2008
60.0,36.0,96.0,28.0,75.0,259.0,4.53,30.0,29.5,120.0,7.31,4.42,24.0,4.0,2008
84.0,54.0,138.0,5.5,73.0,234.0,4.62,22.0,35.0,118.0,7.09,4.275,23.0,7.0,2008
177.0,157.0,334.0,29.5,74.0,231.0,4.67,23.0,34.5,119.0,7.09,4.275,22.0,10.0,2008
98.0,43.0,141.0,43.5,77.0,245.0,4.61,29.0,28.0,111.0,7.29,4.55,23.0,0.0,2008
85.0,35.0,120.0,39.0,75.0,252.0,4.78,19.0,29.0,109.0,7.34,4.47,23.0,0.0,2008
104.0,53.0,157.0,32.5,75.0,253.0,4.51,27.0,32.5,117.0,6.9,4.51,22.0,23.0,2008
135.0,108.0,243.0,35.0,74.0,248.0,4.76,24.0,31.0,118.0,7.11,4.29,23.0,10.0,2008
170.0,124.0,294.0,26.0,73.0,244.0,4.9,25.0,34.5,119.0,7.09,4.275,22.0,0.0,2008
112.0,154.0,266.0,25.0,74.0,232.0,4.69,23.0,30.0,110.0,7.09,4.47,23.0,4.0,2008
102.0,89.0,191.0,20.5,74.0,242.0,4.67,26.0,34.0,119.0,6.88,4.23,24.0,4.0,2008
115.0,74.0,189.0,9.0,74.0,239.0,4.58,29.0,34.0,126.0,6.7,3.98,23.0,2.0,2008
97.0,71.0,168.0,19.0,70.0,219.0,4.7,22.0,34.5,119.0,7.09,4.275,24.0,1.0,2008
109.0,83.0,196.0,23.0,75.0,246.0,4.85,29.0,31.5,112.0,7.08,4.56,22.0,24.0,2008
69.0,34.0,103.0,10.5,73.0,238.0,4.86,26.0,29.5,113.0,7.09,4.275,23.0,0.0,2008
56.0,20.0,76.0,14.5,72.0,237.0,4.45,27.0,34.5,119.0,7.09,4.275,22.0,1.0,2008
171.0,98.0,269.0,15.5,74.0,245.0,4.63,28.0,31.5,118.0,6.86,4.26,22.0,9.0,2008
82.0,57.0,139.0,29.5,73.0,226.0,4.64,22.0,26.5,116.0,7.22,4.48,21.0,18.0,2008
179.0,92.0,271.0,28.5,74.0,238.0,4.85,27.0,28.5,113.0,7.68,4.55,24.0,4.0,2008
43.0,26.0,69.0,10.0,73.0,235.0,4.76,20.0,31.5,113.0,6.77,4.22,23.0,4.0,2008
209.0,122.0,331.0,44.5,74.0,254.0,4.52,25.0,37.0,124.0,7.15,4.51,23.0,12.0,2009
104.0,74.0,178.0,27.0,75.0,243.0,4.64,30.0,35.0,120.0,6.84,4.22,22.0,52.0,2009
108.0,104.0,212.0,54.5,74.0,255.0,4.74,24.0,36.0,107.0,7.26,4.38,23.0,7.0,2009
57.0,40.0,97.0,13.5,75.0,240.0,4.58,23.0,35.5,121.0,6.9,4.18,23.0,75.0,2009
159.0,216.0,375.0,24.5,74.0,244.0,4.72,22.0,33.0,115.0,6.93,4.24,22.0,51.0,2009
164.0,109.0,273.0,22.5,74.0,249.0,4.91,23.0,34.5,83.0,7.09,4.275,22.0,47.0,2009
131.0,114.0,245.0,38.5,75.0,256.0,4.75,23.0,34.5,119.0,7.37,4.4,23.0,2.0,2009
109.0,83.0,196.0,23.0,76.0,256.0,4.47,21.0,40.5,128.0,6.87,4.18,22.0,16.0,2009
115.0,95.0,210.0,27.0,74.0,236.0,4.56,19.0,34.5,119.0,7.09,4.275,22.0,45.0,2009
94.0,70.0,164.0,15.5,71.0,229.0,4.65,30.0,34.5,110.0,6.98,4.2,22.0,12.0,2009
58.0,52.0,110.0,40.0,74.0,248.0,4.72,24.0,33.0,113.0,7.21,4.4,22.0,6.0,2009
131.0,120.0,251.0,21.5,72.0,232.0,4.56,19.0,31.5,121.0,7.22,4.39,22.0,1.0,2009
208.0,178.0,386.0,32.0,74.0,231.0,4.49,19.0,34.0,123.0,7.24,4.35,23.0,7.0,2009
118.0,53.0,171.0,24.0,73.0,239.0,4.6,20.0,34.0,120.0,7.09,4.32,23.0,1.0,2009
211.0,133.0,344.0,28.5,73.0,244.0,4.7,27.0,35.5,119.0,7.0,4.39,23.0,2.0,2009
109.0,83.0,196.0,23.0,74.0,234.0,4.83,15.0,31.5,109.0,7.05,4.37,22.0,2.0,2009
142.0,51.0,193.0,20.0,74.0,252.0,4.67,26.0,35.5,114.0,7.03,4.32,24.0,16.0,2009
109.0,83.0,196.0,23.0,73.0,227.0,4.75,32.0,34.5,119.0,7.09,4.275,22.0,4.0,2009
91.0,70.0,161.0,19.0,73.0,233.0,4.65,12.0,31.0,121.0,7.09,4.28,24.0,10.0,2009
155.0,89.0,244.0,50.0,74.0,236.0,4.69,23.0,37.0,117.0,7.31,4.275,22.0,2.0,2009
139.0,135.0,274.0,31.5,75.0,254.0,4.68,24.0,34.5,119.0,7.09,4.275,21.0,15.0,2010
86.0,52.0,138.0,56.0,73.0,268.0,4.71,31.0,34.5,119.0,7.09,4.275,22.0,59.0,2010
233.0,173.0,406.0,44.0,73.0,239.0,4.62,34.0,40.0,123.0,6.99,4.38,22.0,22.0,2010
83.0,59.0,142.0,40.5,74.0,255.0,4.65,26.0,34.5,118.0,6.99,4.15,22.0,3.0,2010
94.0,112.0,206.0,26.0,75.0,251.0,4.75,23.0,38.0,127.0,7.07,4.27,23.0,30.0,2010
107.0,44.0,151.0,33.5,75.0,250.0,4.65,25.0,36.5,118.0,7.26,4.53,22.0,0.0,2010
148.0,72.0,220.0,20.5,74.0,230.0,4.58,17.0,31.0,114.0,7.09,4.275,23.0,34.0,2010
61.0,67.0,128.0,34.0,73.0,254.0,4.65,24.0,38.0,114.0,6.95,4.29,22.0,22.0,2010
147.0,166.0,313.0,29.5,74.0,236.0,4.71,24.0,37.5,120.0,7.09,4.275,24.0,53.0,2010
178.0,129.0,307.0,31.5,75.0,249.0,5.05,23.0,29.0,111.0,6.97,4.275,23.0,19.0,2010
95.0,163.0,258.0,11.5,72.0,235.0,4.71,26.0,35.0,110.0,7.04,4.29,23.0,18.0,2010
159.0,79.0,238.0,26.5,73.0,245.0,4.61,35.0,34.5,119.0,7.09,4.275,21.0,26.0,2010
